dx,dy,dz,gFlops,gpu_comp
32,256,256,629.733704,0.815904
64,256,256,669.487549,1.534912
96,256,256,683.325195,2.255744
128,256,256,694.860718,2.957728
160,256,256,700.910645,3.665248
192,256,256,703.859253,4.379872
224,256,256,706.975403,5.087328
256,256,256,710.928467,5.781760
288,256,256,712.172302,6.493120
320,256,256,699.055237,7.349952
352,256,256,684.120972,8.261440
384,256,256,644.599121,9.565056
416,256,256,604.038513,11.057952
448,256,256,571.151062,12.594272
480,256,256,542.168457,14.215200
512,256,256,519.316345,15.830112
544,256,256,510.954376,17.094751
576,256,256,508.544983,18.186081
608,256,256,499.966553,19.525791
640,256,256,493.218842,20.834656
672,256,256,486.016510,22.200577
704,256,256,487.536926,23.185217
736,256,256,490.879913,24.074017
768,256,256,489.104401,25.211905
800,256,256,493.886810,26.008097
832,256,256,494.176300,27.032576
864,256,256,495.251221,28.011360
896,256,256,494.466614,29.094912
928,256,256,496.230347,30.026913
960,256,256,491.739777,31.345984
992,256,256,491.357788,32.416031
1024,256,256,493.343781,33.327007
1056,256,256,489.840546,34.614273
1088,256,256,486.353180,35.918911
1120,256,256,490.032013,36.697762
1152,256,256,490.219452,37.731838
1184,256,256,490.450226,38.761696
1216,256,256,492.732391,39.624928
1248,256,256,493.284058,40.622208
1280,256,256,487.974335,42.117153
1312,256,256,485.894012,43.354912
1344,256,256,482.453949,44.729023
1376,256,256,478.636566,46.159233
1408,256,256,475.987396,47.495583
1440,256,256,477.100220,48.461727
1472,256,256,471.856415,50.089184
1504,256,256,474.439972,50.899391
1536,256,256,477.286346,51.672352
1568,256,256,475.214661,52.978817
1600,256,256,477.918152,53.754208
1632,256,256,474.906006,55.177055
1664,256,256,481.264343,55.515678
1696,256,256,486.053528,56.025761
1728,256,256,488.488281,56.798336
1760,256,256,492.920197,57.330017
1792,256,256,491.908905,58.492386
1824,256,256,491.354523,59.604065
1856,256,256,488.901825,60.954018
1888,256,256,485.656433,62.419296
1920,256,256,492.693909,62.570560
1952,256,256,479.419342,65.374786
1984,256,256,485.184509,65.656960
2016,256,256,480.792572,67.325378
2048,256,256,478.712189,68.691261
