dx,dy,dz,gFlops,gpu_comp
32,256,256,143.721878,3.574976
64,256,256,265.308197,3.873248
96,256,256,389.338501,3.959040
128,256,256,418.117004,4.915392
160,256,256,518.635132,4.953408
192,256,256,591.549194,5.211424
224,256,256,701.442505,5.127456
256,256,256,508.368835,8.085504
288,256,256,572.839905,8.072448
320,256,256,593.066223,8.663488
352,256,256,382.520203,14.775232
384,256,256,412.367554,14.951776
416,256,256,442.303192,15.101472
448,256,256,457.885742,15.709664
480,256,256,496.453125,15.524192
512,256,256,524.430359,15.675744
544,256,256,546.557617,15.981184
576,256,256,567.917480,16.284832
608,256,256,594.483887,16.421375
640,256,256,589.186035,17.441088
672,256,256,610.220276,17.681889
704,256,256,485.004608,23.306273
736,256,256,500.866486,23.594015
768,256,256,518.296204,23.791904
800,256,256,539.187744,23.822975
832,256,256,558.146973,23.934303
864,256,256,576.546936,24.061632
896,256,256,595.342407,24.165024
928,256,256,603.134705,24.704704
960,256,256,607.344299,25.379456
992,256,256,607.715759,26.209408
1024,256,256,524.909302,31.322880
1056,256,256,532.347290,31.850401
1088,256,256,539.355286,32.389183
1120,256,256,550.345703,32.675968
1152,256,256,564.183044,32.785248
1184,256,256,567.129272,33.520897
1216,256,256,580.210571,33.650688
1248,256,256,593.302612,33.774143
1280,256,256,591.325500,34.755966
1312,256,256,603.802673,34.888702
1344,256,256,587.765259,36.714817
1376,256,256,540.590149,40.869217
1408,256,256,546.468323,41.369823
1440,256,256,551.828064,41.899105
1472,256,256,558.655151,42.306786
1504,256,256,570.597900,42.321758
1536,256,256,578.888611,42.603199
1568,256,256,581.826416,43.271168
1600,256,256,587.476929,43.729568
1632,256,256,592.120422,44.254368
1664,256,256,602.530762,44.342495
1696,256,256,553.804199,49.171745
1728,256,256,557.654175,49.753632
1760,256,256,563.573425,50.142754
1792,256,256,562.631592,51.139904
1824,256,256,566.844238,51.666271
1856,256,256,573.261719,51.984161
1888,256,256,577.201965,52.519455
1920,256,256,590.771057,52.182880
1952,256,256,590.040588,53.118271
1984,256,256,590.898438,53.910686
2016,256,256,590.131958,54.851360
2048,256,256,545.015869,60.334656
