dx,dy,dz,gFlops,gpu_comp
32,256,256,359.378662,1.429696
64,256,256,695.169067,1.478208
96,256,256,966.937500,1.594112
128,256,256,1143.836670,1.796768
160,256,256,1359.161621,1.890144
192,256,256,1565.019775,1.969824
224,256,256,1761.941284,2.041280
256,256,256,1641.351929,2.504288
288,256,256,1813.112549,2.550432
320,256,256,1930.286987,2.661792
352,256,256,1461.646606,3.866752
384,256,256,1495.187378,4.123648
416,256,256,1540.674805,4.335392
448,256,256,1550.286743,4.639936
480,256,256,1605.353760,4.800832
512,256,256,1658.442993,4.956960
544,256,256,1723.510010,5.067936
576,256,256,1794.581543,5.153536
608,256,256,1903.665894,5.128128
640,256,256,1892.886963,5.428768
672,256,256,1892.233276,5.702176
704,256,256,1621.009521,6.973216
736,256,256,1668.475464,7.082784
768,256,256,1720.711792,7.166368
800,256,256,1709.858154,7.512352
832,256,256,1748.505005,7.640160
864,256,256,1795.213135,7.727584
896,256,256,1835.157715,7.839360
928,256,256,1896.124878,7.858272
960,256,256,1951.883057,7.897024
992,256,256,1951.187256,8.163168
1024,256,256,1704.430420,9.646432
1056,256,256,1701.777222,9.963392
1088,256,256,1693.126709,10.317760
1120,256,256,1718.277344,10.465760
1152,256,256,1729.880615,10.692576
1184,256,256,1763.351929,10.780992
1216,256,256,1779.399658,10.972512
1248,256,256,1854.012573,10.808064
1280,256,256,1907.549316,10.774080
1312,256,256,1934.087158,10.891904
1344,256,256,1860.087524,11.601440
1376,256,256,1686.876709,13.097280
1408,256,256,1625.881592,13.904640
1440,256,256,1668.123535,13.860544
1472,256,256,1597.671509,14.793344
1504,256,256,1672.566650,14.438112
1536,256,256,1748.038940,14.108672
1568,256,256,1763.050781,14.279968
1600,256,256,1738.178467,14.779904
1632,256,256,1692.643799,15.481056
1664,256,256,1748.695435,15.278656
1696,256,256,1719.335205,15.838400
1728,256,256,1687.802979,16.438721
1760,256,256,1710.302490,16.522881
1792,256,256,1692.464478,17.000608
1824,256,256,1719.369873,17.033407
1856,256,256,1740.028076,17.126465
1888,256,256,1772.562256,17.101984
1920,256,256,1846.746216,16.693216
1952,256,256,1900.738892,16.489344
1984,256,256,1919.749390,16.593697
2016,256,256,1881.764526,17.201696
2048,256,256,1743.635254,18.859072
