dx,dy,dz,gFlops,gpu_comp
32,256,256,291.474976,2.194464
64,256,256,564.750061,2.265184
96,256,256,793.928772,2.416960
128,256,256,558.552002,4.580640
160,256,256,669.043579,4.780192
192,256,256,738.163391,5.199104
224,256,256,785.362305,5.701088
256,256,256,543.909790,9.407904
288,256,256,593.470398,9.700032
320,256,256,631.509644,10.128608
352,256,256,682.982605,10.301792
384,256,256,727.592407,10.549280
416,256,256,753.396606,11.036960
448,256,256,780.025208,11.480192
480,256,256,639.211365,15.009856
512,256,256,663.563416,15.422944
544,256,256,698.379333,15.569952
576,256,256,722.748047,15.929984
608,256,256,749.958252,16.204897
640,256,256,755.314026,16.936832
672,256,256,770.105042,17.442112
704,256,256,672.898499,20.912352
736,256,256,701.513916,20.971104
768,256,256,724.983154,21.174496
800,256,256,742.700623,21.530592
832,256,256,759.279846,21.902880
864,256,256,775.126709,22.280289
896,256,256,785.675415,22.795263
928,256,256,718.426392,25.819361
960,256,256,721.610107,26.591841
992,256,256,741.377014,26.745600
1024,256,256,758.281128,26.992895
1056,256,256,751.450928,28.089439
1088,256,256,763.991150,28.465599
1120,256,256,780.827881,28.670977
1152,256,256,721.604370,31.910463
1184,256,256,734.959656,32.200897
1216,256,256,751.571533,32.340225
1248,256,256,759.569458,32.841793
1280,256,256,764.281372,33.476223
1312,256,256,769.402649,34.084736
1344,256,256,771.031616,34.842304
1376,256,256,729.160645,37.720287
1408,256,256,730.341919,38.535072
1440,256,256,744.233093,38.675262
1472,256,256,743.309448,39.583839
1504,256,256,757.701782,39.676128
1536,256,256,767.378418,40.009342
1568,256,256,762.216125,41.119488
1600,256,256,735.183044,43.501503
1632,256,256,739.149780,44.133408
1664,256,256,752.999207,44.171135
1696,256,256,760.333557,44.586304
1728,256,256,759.286316,45.490208
1760,256,256,766.627747,45.888927
1792,256,256,766.104248,46.755199
1824,256,256,736.576660,49.497887
1856,256,256,742.289246,49.978657
1888,256,256,752.702698,50.136993
1920,256,256,758.062561,50.626270
1952,256,256,752.835266,51.827423
1984,256,256,760.381958,52.154240
2016,256,256,755.890930,53.310303
2048,256,256,727.934998,56.236351
