dx,dy,dz,gFlops,gpu_comp
32,256,256,1209.663452,0.528768
64,256,256,1233.628418,1.036992
96,256,256,1255.321289,1.528608
128,256,256,1278.587646,2.001056
160,256,256,1288.631592,2.481824
192,256,256,1294.422974,2.964864
224,256,256,1301.309082,3.440704
256,256,256,1289.537720,3.968128
288,256,256,1235.492310,4.659424
320,256,256,1126.073486,5.680192
352,256,256,1049.830200,6.701984
384,256,256,926.407654,8.285312
416,256,256,814.833008,10.204800
448,256,256,766.967224,11.675648
480,256,256,726.732300,13.202208
512,256,256,712.490662,14.363840
544,256,256,706.907715,15.382112
576,256,256,698.385071,16.485697
608,256,256,686.965149,17.690847
640,256,256,677.350586,18.886272
672,256,256,667.294189,20.129440
704,256,256,659.453308,21.338720
736,256,256,660.179321,22.284128
768,256,256,658.423645,23.315008
800,256,256,665.118286,24.042015
832,256,256,664.021606,25.044992
864,256,256,662.843201,26.054497
896,256,256,664.212524,26.963776
928,256,256,666.817688,27.817663
960,256,256,661.838074,28.993408
992,256,256,658.010864,30.134111
1024,256,256,664.730225,30.791744
1056,256,256,660.655090,31.949856
1088,256,256,658.510254,33.025249
1120,256,256,659.268066,33.957504
1152,256,256,661.600037,34.804607
1184,256,256,665.332581,35.570721
1216,256,256,662.002258,36.715874
1248,256,256,657.475281,37.941536
1280,256,256,651.041260,39.298977
1312,256,256,648.220459,40.456738
1344,256,256,654.312927,41.057598
1376,256,256,643.802490,42.721409
1408,256,256,645.927673,43.571102
1440,256,256,645.971436,44.558334
1472,256,256,638.834106,46.057407
1504,256,256,648.024902,46.391232
1536,256,256,644.704346,47.622303
1568,256,256,646.010254,48.516159
1600,256,256,648.342590,49.328194
1632,256,256,648.183899,50.327072
1664,256,256,657.401428,50.594398
1696,256,256,655.773804,51.695358
1728,256,256,659.289734,52.389854
1760,256,256,660.768250,53.240639
1792,256,256,656.967468,54.522270
1824,256,256,659.950989,55.244991
1856,256,256,653.924255,56.732288
1888,256,256,649.813416,58.075520
1920,256,256,656.674438,58.442783
1952,256,256,644.139038,60.573120
1984,256,256,651.616760,60.859615
2016,256,256,639.631653,62.999969
2048,256,256,644.304199,63.535839
