dx,dy,dz,gFlops,gpu_comp
32,256,256,1174.273193,0.544704
64,256,256,1235.152954,1.035712
96,256,256,1254.664673,1.529408
128,256,256,1271.592529,2.012064
160,256,256,1282.858887,2.492992
192,256,256,1285.102295,2.986368
224,256,256,1291.138184,3.467808
256,256,256,1284.018799,3.985184
288,256,256,1254.568359,4.588576
320,256,256,1159.653320,5.515712
352,256,256,1082.740967,6.498272
384,256,256,943.119690,8.138496
416,256,256,800.926697,10.381984
448,256,256,743.862183,12.038304
480,256,256,694.682800,13.811296
512,256,256,679.371887,15.064064
544,256,256,675.210022,16.104223
576,256,256,670.930725,17.160288
608,256,256,662.639282,18.340288
640,256,256,657.328735,19.461536
672,256,256,654.238464,20.531136
704,256,256,653.147461,21.544737
736,256,256,658.039062,22.356607
768,256,256,660.755249,23.232737
800,256,256,664.148560,24.077120
832,256,256,663.779053,25.054144
864,256,256,663.169861,26.041664
896,256,256,664.935364,26.934464
928,256,256,665.507751,27.872416
960,256,256,663.288269,28.930016
992,256,256,660.701477,30.011393
1024,256,256,664.300171,30.811680
1056,256,256,659.132019,32.023682
1088,256,256,657.069519,33.097664
1120,256,256,661.182739,33.859169
1152,256,256,662.583252,34.752960
1184,256,256,661.966125,35.751617
1216,256,256,661.987915,36.716671
1248,256,256,660.427979,37.771904
1280,256,256,656.161926,38.992287
1312,256,256,648.708008,40.426334
1344,256,256,649.352051,41.371265
1376,256,256,639.649902,42.998753
1408,256,256,642.181396,43.825279
1440,256,256,640.248291,44.956638
1472,256,256,634.206970,46.393440
1504,256,256,643.133484,46.744064
1536,256,256,642.629028,47.776096
1568,256,256,644.154846,48.655903
1600,256,256,644.533936,49.619678
1632,256,256,644.839050,50.588127
1664,256,256,654.102112,50.849602
1696,256,256,656.291748,51.654560
1728,256,256,660.056580,52.328991
1760,256,256,660.778137,53.239841
1792,256,256,659.223083,54.335712
1824,256,256,660.604187,55.190369
1856,256,256,653.341614,56.782879
1888,256,256,650.856262,57.982464
1920,256,256,661.493103,58.017056
1952,256,256,645.987366,60.399807
1984,256,256,650.150879,60.996834
2016,256,256,641.974243,62.770081
2048,256,256,643.495544,63.615681
