dx,dy,dz,gFlops,gpu_comp
32,256,256,289.499298,2.209440
64,256,256,564.200073,2.267392
96,256,256,794.265259,2.415936
128,256,256,565.041382,4.528032
160,256,256,685.758179,4.663680
192,256,256,781.339233,4.911808
224,256,256,860.851501,5.201152
256,256,256,578.686401,8.842528
288,256,256,632.457886,9.102080
320,256,256,673.849976,9.492192
352,256,256,734.885315,9.574208
384,256,256,785.427673,9.772480
416,256,256,829.760315,10.021216
448,256,256,858.322021,10.432960
480,256,256,694.119934,13.822496
512,256,256,725.779968,14.100832
544,256,256,760.189941,14.303968
576,256,256,788.674805,14.598368
608,256,256,826.538269,14.703488
640,256,256,835.047058,15.319648
672,256,256,863.925476,15.547936
704,256,256,737.067932,19.091713
736,256,256,767.040649,19.179585
768,256,256,794.494141,19.321920
800,256,256,819.690491,19.508320
832,256,256,840.656372,19.782656
864,256,256,858.789307,20.109760
896,256,256,872.013489,20.538303
928,256,256,786.052734,23.598047
960,256,256,794.663147,24.147264
992,256,256,811.913818,24.422016
1024,256,256,834.462463,24.528608
1056,256,256,833.433167,25.326368
1088,256,256,843.923645,25.769472
1120,256,256,859.590698,26.043903
1152,256,256,793.592529,29.015808
1184,256,256,803.881897,29.440096
1216,256,256,820.648010,29.618048
1248,256,256,831.122742,30.014368
1280,256,256,842.645569,30.363008
1312,256,256,849.182861,30.882496
1344,256,256,848.554077,31.659168
1376,256,256,799.947754,34.382431
1408,256,256,804.156555,34.997887
1440,256,256,816.911438,35.234432
1472,256,256,820.052673,35.879456
1504,256,256,835.669250,35.974369
1536,256,256,844.771057,36.343937
1568,256,256,837.739380,37.412514
1600,256,256,805.249390,39.716351
1632,256,256,811.683289,40.189568
1664,256,256,824.216248,40.354496
1696,256,256,832.370422,40.727615
1728,256,256,835.054382,41.362686
1760,256,256,844.355103,41.664608
1792,256,256,835.279053,42.883102
1824,256,256,809.632080,45.031551
1856,256,256,813.707825,45.592064
1888,256,256,824.054077,45.795841
1920,256,256,831.340210,46.163872
1952,256,256,828.703613,47.082592
1984,256,256,835.119568,47.486786
2016,256,256,829.916199,48.555233
2048,256,256,803.841736,50.925953
