dx,dy,dz,gFlops,gpu_comp
32,256,256,296.385010,2.582656
64,256,256,570.551086,2.683232
96,256,256,829.991760,2.766752
128,256,256,769.876465,3.977056
160,256,256,923.006592,4.146560
192,256,256,1032.835327,4.446752
224,256,256,1125.283813,4.761664
256,256,256,931.398438,6.574720
288,256,256,986.436218,6.983872
320,256,256,918.329285,8.335360
352,256,256,761.263794,11.060640
384,256,256,778.170593,11.804000
416,256,256,760.842041,13.078912
448,256,256,750.796326,14.273440
480,256,256,698.353027,16.441408
512,256,256,726.137207,16.866465
544,256,256,770.061279,16.898432
576,256,256,718.696045,19.171232
608,256,256,727.541321,19.990273
640,256,256,743.575562,20.588640
672,256,256,760.900269,21.125856
704,256,256,779.651855,21.599552
736,256,256,784.163696,22.451424
768,256,256,789.519775,23.268641
800,256,256,732.403198,26.128384
832,256,256,727.889709,27.342016
864,256,256,729.652832,28.325024
896,256,256,724.327759,29.590048
928,256,256,704.607300,31.504576
960,256,256,709.355225,32.372799
992,256,256,717.388977,33.077278
1024,256,256,719.929932,34.023777
1056,256,256,713.742981,35.391167
1088,256,256,709.249817,36.694626
1120,256,256,724.359314,36.985950
1152,256,256,736.737549,37.403519
1184,256,256,736.474792,38.456223
1216,256,256,729.562317,39.869793
1248,256,256,706.902039,42.230686
1280,256,256,700.220642,43.726814
1312,256,256,699.188049,44.886177
1344,256,256,688.345337,46.705250
1376,256,256,667.963806,49.276321
1408,256,256,671.158508,50.182274
1440,256,256,661.223450,52.093922
1472,256,256,675.765808,52.105598
1504,256,256,689.867004,52.150112
1536,256,256,685.931335,53.565281
1568,256,256,674.764221,55.586178
1600,256,256,682.062073,56.113697
1632,256,256,689.490417,56.619328
1664,256,256,706.008118,56.378880
1696,256,256,686.949768,59.057312
1728,256,256,695.544922,59.428032
1760,256,256,691.520203,60.880833
1792,256,256,694.080444,61.759106
1824,256,256,672.986389,64.832291
1856,256,256,671.318481,66.133598
1888,256,256,688.834412,65.563171
1920,256,256,682.736511,67.269920
1952,256,256,680.300232,68.636002
1984,256,256,688.871155,68.893219
2016,256,256,687.538757,70.140060
2048,256,256,669.566467,73.165955
