dx,dy,dz,gFlops,gpu_comp
32,256,256,221.970413,3.448480
64,256,256,428.700653,3.571072
96,256,256,624.570618,3.676736
128,256,256,424.978180,7.204704
160,256,256,524.111084,7.302464
192,256,256,598.637085,7.672032
224,256,256,665.497375,8.051456
256,256,256,435.661377,14.056064
288,256,256,476.181091,14.467488
320,256,256,505.845825,15.132288
352,256,256,556.938049,15.118496
384,256,256,612.257385,15.002720
416,256,256,649.285889,15.326048
448,256,256,656.902588,16.313601
480,256,256,527.030273,21.786049
512,256,256,555.072510,22.064447
544,256,256,578.840210,22.480864
576,256,256,600.250244,22.954241
608,256,256,630.062988,23.083008
640,256,256,632.810303,24.192415
672,256,256,647.921326,24.809601
704,256,256,555.429138,30.319136
736,256,256,582.339050,30.232544
768,256,256,599.717712,30.632832
800,256,256,624.920715,30.622305
832,256,256,647.836487,30.720673
864,256,256,649.615967,31.814848
896,256,256,660.415222,32.453663
928,256,256,595.102600,37.301727
960,256,256,602.903564,38.088703
992,256,256,607.062195,39.088703
1024,256,256,632.528320,38.725121
1056,256,256,638.368652,39.569920
1088,256,256,626.522766,41.539841
1120,256,256,641.550232,41.759968
1152,256,256,590.774475,46.644833
1184,256,256,601.846680,47.058559
1216,256,256,615.680725,47.244450
1248,256,256,622.356506,47.967617
1280,256,256,625.109802,48.980865
1312,256,256,626.861572,50.065086
1344,256,256,632.132751,50.858528
1376,256,256,593.272278,55.480095
1408,256,256,597.494873,56.369122
1440,256,256,607.296204,56.719807
1472,256,256,619.225159,56.863297
1504,256,256,632.240417,56.903423
1536,256,256,626.065674,58.687298
1568,256,256,621.062805,60.392544
1600,256,256,596.590393,64.152931
1632,256,256,606.895081,64.324928
1664,256,256,613.450745,64.885315
1696,256,256,619.861755,65.449120
1728,256,256,627.135437,65.910591
1760,256,256,625.267456,67.331711
1792,256,256,618.870850,69.264511
1824,256,256,596.602234,73.132896
1856,256,256,607.313904,73.103394
1888,256,256,620.523926,72.780701
1920,256,256,614.382385,74.754143
1952,256,256,613.886475,76.061440
1984,256,256,617.898071,76.806435
2016,256,256,605.918640,79.588257
2048,256,256,595.557007,82.258240
