dx,dy,dz,gFlops,gpu_comp
32,256,256,406.861511,0.335040
64,256,256,438.435547,0.621824
96,256,256,440.248047,0.928896
128,256,256,448.357025,1.216128
160,256,256,452.029968,1.507808
192,256,256,455.046295,1.797376
224,256,256,457.618530,2.085152
256,256,256,463.120453,2.354720
288,256,256,464.642242,2.640384
320,256,256,463.580383,2.940480
352,256,256,466.088837,3.217120
384,256,256,468.157135,3.494080
416,256,256,467.407043,3.791328
448,256,256,468.533539,4.073152
480,256,256,469.424561,4.355808
512,256,256,470.742828,4.633184
544,256,256,471.230438,4.917664
576,256,256,470.293488,5.217312
608,256,256,471.762329,5.490016
640,256,256,471.873749,5.777600
672,256,256,471.342926,6.073312
704,256,256,469.244049,6.390976
736,256,256,471.520569,6.649216
768,256,256,471.569000,6.937600
800,256,256,471.640717,7.225568
832,256,256,469.212952,7.553472
864,256,256,469.208527,7.844064
896,256,256,465.568970,8.198176
928,256,256,459.041290,8.611712
960,256,256,440.496887,9.283712
992,256,256,439.878479,9.606656
1024,256,256,429.212463,10.162976
1056,256,256,418.191681,10.756768
1088,256,256,407.896210,11.362464
1120,256,256,393.799347,12.115360
1152,256,256,382.474365,12.830496
1184,256,256,377.238647,13.369920
1216,256,256,375.555756,13.792800
1248,256,256,369.192688,14.399744
1280,256,256,362.030396,15.061152
1312,256,256,356.837585,15.662336
1344,256,256,355.825378,16.089985
1376,256,256,350.209320,16.737247
1408,256,256,353.387726,16.972448
1440,256,256,356.082611,17.226816
1472,256,256,356.177155,17.604959
1504,256,256,352.611572,18.169567
1536,256,256,353.412262,18.514112
1568,256,256,355.865448,18.769535
1600,256,256,358.455933,19.014175
1632,256,256,358.633331,19.384865
1664,256,256,359.469086,19.719007
1696,256,256,359.025146,20.123072
1728,256,256,361.847260,20.342848
1760,256,256,362.466095,20.684193
1792,256,256,365.197540,20.902752
1824,256,256,364.827972,21.297567
1856,256,256,363.436584,21.754175
1888,256,256,362.003296,22.216864
1920,256,256,354.726044,23.056929
1952,256,256,353.141357,23.546400
1984,256,256,355.149933,23.797056
2016,256,256,348.153015,24.666847
2048,256,256,343.212860,25.419071
