dx,dy,dz,gFlops,gpu_comp
32,256,256,209.071899,0.782400
64,256,256,406.408630,0.804992
96,256,256,556.619507,0.881632
128,256,256,640.918823,1.020896
160,256,256,739.791016,1.105568
192,256,256,940.189148,1.043904
224,256,256,626.666443,1.827200
256,256,256,681.687988,1.919680
288,256,256,743.788147,1.979328
320,256,256,812.597595,2.013024
352,256,256,866.181274,2.077344
384,256,256,911.209290,2.154208
416,256,256,730.057678,2.912800
448,256,256,757.024475,3.025120
480,256,256,794.556885,3.088096
512,256,256,832.135437,3.145216
544,256,256,887.684204,3.132672
576,256,256,759.731018,3.875584
608,256,256,794.518738,3.911776
640,256,256,799.294434,4.093056
672,256,256,824.099060,4.168352
704,256,256,859.764465,4.185696
736,256,256,890.248718,4.226112
768,256,256,797.308105,4.923904
800,256,256,814.225891,5.022496
832,256,256,818.186340,5.198112
864,256,256,850.906982,5.190464
896,256,256,840.664062,5.448288
928,256,256,897.481628,5.285632
960,256,256,807.051147,6.080576
992,256,256,820.536194,6.180000
1024,256,256,836.655518,6.256448
1056,256,256,863.079041,6.254432
1088,256,256,852.327332,6.525248
1120,256,256,866.991760,6.603552
1152,256,256,817.279053,7.205376
1184,256,256,833.863342,7.258240
1216,256,256,840.852539,7.392448
1248,256,256,861.700806,7.403424
1280,256,256,881.000671,7.426912
1312,256,256,895.547729,7.488928
1344,256,256,822.939819,8.348448
1376,256,256,831.229187,8.461984
1408,256,256,832.825684,8.642176
1440,256,256,846.571899,8.695072
1472,256,256,834.489136,9.016992
1504,256,256,809.721802,9.494816
1536,256,256,817.747559,9.601664
1568,256,256,834.747742,9.602080
1600,256,256,823.115051,9.936512
1632,256,256,855.094971,9.756192
1664,256,256,841.234192,10.111392
1696,256,256,864.649475,10.026752
1728,256,256,822.855713,10.734816
1760,256,256,850.120911,10.582944
1792,256,256,839.714600,10.908896
1824,256,256,859.530396,10.847712
1856,256,256,824.359070,11.508960
1888,256,256,877.831787,10.994240
1920,256,256,834.760315,11.757472
1952,256,256,859.601074,11.608000
1984,256,256,855.521179,11.854560
2016,256,256,871.757812,11.821408
2048,256,256,852.589661,12.279040
