dx,dy,dz,gFlops,gpu_comp
32,256,256,165.270233,0.989760
64,256,256,324.899628,1.006944
96,256,256,445.072662,1.102592
128,256,256,518.215576,1.262624
160,256,256,616.489502,1.326688
192,256,256,713.126221,1.376288
224,256,256,509.296417,2.248288
256,256,256,543.585266,2.407392
288,256,256,579.913452,2.538656
320,256,256,615.220764,2.658848
352,256,256,663.174316,2.713248
384,256,256,701.400635,2.798592
416,256,256,589.330566,3.608352
448,256,256,596.317993,3.840384
480,256,256,616.752380,3.978368
512,256,256,641.054443,4.082720
544,256,256,684.564941,4.062176
576,256,256,592.883423,4.966240
608,256,256,610.756653,5.088736
640,256,256,621.931152,5.260320
672,256,256,639.745239,5.369536
704,256,256,653.027222,5.510816
736,256,256,686.890320,5.477280
768,256,256,619.362854,6.338560
800,256,256,625.808960,6.534656
832,256,256,633.681091,6.711616
864,256,256,656.647705,6.725984
896,256,256,660.376343,6.935712
928,256,256,684.561279,6.929632
960,256,256,630.999084,7.777088
992,256,256,636.223328,7.970336
1024,256,256,640.246460,8.175744
1056,256,256,662.044739,8.153632
1088,256,256,663.085999,8.387520
1120,256,256,682.515625,8.388416
1152,256,256,627.699219,9.381568
1184,256,256,643.600769,9.403936
1216,256,256,646.192505,9.619360
1248,256,256,666.534607,9.571200
1280,256,256,669.119812,9.778688
1312,256,256,689.661926,9.724608
1344,256,256,642.102417,10.699648
1376,256,256,651.158752,10.802048
1408,256,256,646.922852,11.125632
1440,256,256,659.660034,11.158784
1472,256,256,660.989807,11.383808
1504,256,256,639.217407,12.027456
1536,256,256,637.455383,12.317312
1568,256,256,652.741882,12.279456
1600,256,256,648.088074,12.620032
1632,256,256,663.158569,12.579904
1664,256,256,662.681213,12.835808
1696,256,256,676.744385,12.810784
1728,256,256,644.339539,13.708928
1760,256,256,656.524597,13.703648
1792,256,256,653.221436,14.023360
1824,256,256,667.417358,13.970176
1856,256,256,668.923279,14.183264
1888,256,256,682.760925,14.135392
1920,256,256,651.870850,15.056160
1952,256,256,663.674744,15.034848
1984,256,256,666.392090,15.219008
2016,256,256,673.365723,15.304320
2048,256,256,670.358459,15.616992
