dx,dy,dz,gFlops,gpu_comp
32,256,256,514.993347,0.509024
64,256,256,551.130249,0.951296
96,256,256,560.162292,1.403936
128,256,256,571.259216,1.835552
160,256,256,575.329407,2.278208
192,256,256,579.540649,2.713984
224,256,256,579.361084,3.167296
256,256,256,583.532898,3.593888
288,256,256,584.720520,4.034912
320,256,256,584.466492,4.485184
352,256,256,586.101929,4.919936
384,256,256,587.198059,5.357184
416,256,256,586.845337,5.807104
448,256,256,586.015869,6.262656
480,256,256,587.956665,6.687840
512,256,256,588.178284,7.131008
544,256,256,586.710693,7.595648
576,256,256,579.447266,8.143264
608,256,256,571.317383,8.717984
640,256,256,554.859436,9.449024
672,256,256,535.065125,10.288512
704,256,256,512.541626,11.252096
736,256,256,489.246063,12.323680
768,256,256,474.826294,13.250016
800,256,256,462.370331,14.173920
832,256,256,456.786987,14.921056
864,256,256,451.273438,15.684256
896,256,256,449.355072,16.334593
928,256,256,444.758972,17.092800
960,256,256,446.445129,17.615423
992,256,256,443.296234,18.331903
1024,256,256,444.451965,18.874048
1056,256,256,442.646210,19.543264
1088,256,256,440.819061,20.218945
1120,256,256,441.113831,20.799711
1152,256,256,442.316681,21.335808
1184,256,256,444.290710,21.831039
1216,256,256,445.943848,22.337952
1248,256,256,443.314636,23.061760
1280,256,256,436.916565,23.999456
1312,256,256,432.636322,24.842815
1344,256,256,432.994598,25.427679
1376,256,256,426.405334,26.435392
1408,256,256,426.273102,27.058559
1440,256,256,428.608795,27.522720
1472,256,256,425.335083,28.350880
1504,256,256,423.704407,29.078688
1536,256,256,427.572754,29.428703
1568,256,256,429.916626,29.878016
1600,256,256,430.079987,30.476192
1632,256,256,431.206390,31.004513
1664,256,256,435.101562,31.329439
1696,256,256,434.855682,31.949984
1728,256,256,438.024109,32.317345
1760,256,256,441.354218,32.667458
1792,256,256,443.919769,33.069183
1824,256,256,442.964142,33.732319
1856,256,256,443.016846,34.320030
1888,256,256,439.521729,35.189377
1920,256,256,437.030579,35.989792
1952,256,256,431.685333,37.042686
1984,256,256,434.908905,37.370880
2016,256,256,426.728760,38.701569
2048,256,256,424.767883,39.497375
