dx,dy,dz,gFlops,gpu_comp
32,256,256,202.321548,1.295680
64,256,256,387.741089,1.352160
96,256,256,539.586365,1.457472
128,256,256,459.392395,2.282528
160,256,256,543.510010,2.411584
192,256,256,629.742065,2.497632
224,256,256,714.727295,2.567424
256,256,256,567.308105,3.696672
288,256,256,628.703003,3.752640
320,256,256,677.265442,3.870624
352,256,256,564.572632,5.107552
384,256,256,581.343323,5.411136
416,256,256,580.904175,5.866496
448,256,256,585.656799,6.266496
480,256,256,493.468201,7.968416
512,256,256,501.451904,8.364320
544,256,256,543.838501,8.194432
576,256,256,544.550110,8.665120
608,256,256,546.204224,9.118816
640,256,256,570.980530,9.182240
672,256,256,562.098694,9.793696
704,256,256,583.322815,9.886752
736,256,256,592.713745,10.172384
768,256,256,612.671143,10.268896
800,256,256,586.708557,11.170112
832,256,256,585.210388,11.646656
864,256,256,588.892761,12.018976
896,256,256,588.099854,12.480928
928,256,256,550.568237,13.807872
960,256,256,556.393188,14.134464
992,256,256,558.438171,14.552128
1024,256,256,576.146973,14.559840
1056,256,256,582.554138,14.849696
1088,256,256,560.910583,15.890048
1120,256,256,559.330322,16.403616
1152,256,256,575.865051,16.387840
1184,256,256,592.316956,16.375233
1216,256,256,590.700073,16.863840
1248,256,256,579.188721,17.651615
1280,256,256,582.495605,18.001440
1312,256,256,576.074219,18.657152
1344,256,256,579.615784,18.995424
1376,256,256,568.494995,19.828129
1408,256,256,564.992981,20.415009
1440,256,256,555.085449,21.251648
1472,256,256,559.969482,21.534431
1504,256,256,541.898804,22.736288
1536,256,256,566.079773,22.228161
1568,256,256,563.424744,22.798176
1600,256,256,562.468933,23.302977
1632,256,256,569.065552,23.493504
1664,256,256,567.609375,24.015615
1696,256,256,565.616882,24.563681
1728,256,256,572.690613,24.718016
1760,256,256,571.138123,25.244192
1792,256,256,577.956726,25.399937
1824,256,256,558.009460,26.777697
1856,256,256,558.219116,27.237247
1888,256,256,563.961548,27.424736
1920,256,256,568.015137,27.690529
1952,256,256,572.552734,27.928928
1984,256,256,571.541138,28.437023
2016,256,256,573.874207,28.778208
2048,256,256,571.149719,29.374464
