dx,dy,dz,gFlops,gpu_comp
32,256,256,181.279053,1.446080
64,256,256,355.632751,1.474240
96,256,256,489.473999,1.606688
128,256,256,591.053406,1.774080
160,256,256,706.718689,1.854656
192,256,256,822.806641,1.911584
224,256,256,920.257385,1.994016
256,256,256,904.681091,2.318112
288,256,256,1002.188416,2.354144
320,256,256,1073.037842,2.443008
352,256,256,789.258362,3.653536
384,256,256,821.857361,3.827584
416,256,256,837.897949,4.067168
448,256,256,852.470703,4.305152
480,256,256,895.215759,4.392416
512,256,256,942.631775,4.449568
544,256,256,963.998230,4.622880
576,256,256,997.983154,4.728128
608,256,256,1063.263794,4.684384
640,256,256,1072.869141,4.886784
672,256,256,1064.554443,5.171200
704,256,256,880.330994,6.551136
736,256,256,936.773193,6.436256
768,256,256,966.346375,6.510560
800,256,256,970.671326,6.751616
832,256,256,989.771973,6.886176
864,256,256,1008.972839,7.014944
896,256,256,1033.025146,7.105376
928,256,256,1055.365234,7.203360
960,256,256,1109.420776,7.088672
992,256,256,1093.748535,7.429920
1024,256,256,959.429626,8.743328
1056,256,256,971.362427,8.905792
1088,256,256,948.839417,9.393472
1120,256,256,961.992737,9.537536
1152,256,256,986.661072,9.564768
1184,256,256,1006.364807,9.637984
1216,256,256,1016.450195,9.800256
1248,256,256,1040.440308,9.826240
1280,256,256,1083.039185,9.681792
1312,256,256,1109.704346,9.685376
1344,256,256,1058.339355,10.403136
1376,256,256,964.099731,11.691936
1408,256,256,953.937073,12.091296
1440,256,256,928.589966,12.703648
1472,256,256,941.825684,12.803456
1504,256,256,930.357971,13.243040
1536,256,256,982.254211,12.810240
1568,256,256,1027.554443,12.500608
1600,256,256,992.346619,13.208288
1632,256,256,980.122681,13.640480
1664,256,256,984.986511,13.839264
1696,256,256,944.031189,14.717344
1728,256,256,970.450012,14.586816
1760,256,256,965.300964,14.936192
1792,256,256,985.110168,14.901952
1824,256,256,972.214600,15.369248
1856,256,256,993.133667,15.309472
1888,256,256,1017.901184,15.194496
1920,256,256,1039.160889,15.135904
1952,256,256,1100.253418,14.533728
1984,256,256,1113.680420,14.593888
2016,256,256,1088.419800,15.173440
2048,256,256,986.230469,17.011456
