dx,dy,dz,gFlops,gpu_comp
32,256,256,578.691284,0.670432
64,256,256,617.917542,1.255744
96,256,256,627.544495,1.854720
128,256,256,637.040771,2.436096
160,256,256,640.845703,3.027040
192,256,256,642.600586,3.622528
224,256,256,643.562195,4.219968
256,256,256,648.884277,4.783264
288,256,256,650.596741,5.367008
320,256,256,651.451294,5.955520
352,256,256,651.572205,6.549856
384,256,256,651.518433,7.145888
416,256,256,645.596863,7.812384
448,256,256,616.579712,8.809280
480,256,256,603.002014,9.651040
512,256,256,574.863586,10.798336
544,256,256,549.631531,11.999936
576,256,256,530.466248,13.164864
608,256,256,509.399323,14.470944
640,256,256,494.868713,15.679840
672,256,256,481.644409,16.915873
704,256,256,476.170258,17.925119
736,256,256,475.471039,18.767456
768,256,256,475.863159,19.567295
800,256,256,478.759369,20.259296
832,256,256,478.529785,21.079777
864,256,256,479.173706,21.861120
896,256,256,478.854828,22.685888
928,256,256,479.119171,23.483135
960,256,256,477.134399,24.393951
992,256,256,475.945526,25.270048
1024,256,256,478.295380,25.957056
1056,256,256,476.053528,26.894272
1088,256,256,471.787415,27.959808
1120,256,256,473.690399,28.666529
1152,256,256,476.872833,29.288799
1184,256,256,476.774628,30.108576
1216,256,256,477.581970,30.870049
1248,256,256,477.743408,31.671713
1280,256,256,472.469574,32.846401
1312,256,256,470.194916,33.830433
1344,256,256,465.953705,34.971008
1376,256,256,459.404297,36.314079
1408,256,256,458.888214,37.200382
1440,256,256,460.137787,37.942528
1472,256,256,455.926636,39.143936
1504,256,256,453.899597,40.173504
1536,256,256,459.517914,40.526623
1568,256,256,460.524384,41.280514
1600,256,256,461.445923,42.038849
1632,256,256,461.190674,42.903358
1664,256,256,464.937927,43.392033
1696,256,256,466.994690,44.031712
1728,256,256,471.379822,44.445152
1760,256,256,474.464691,44.973888
1792,256,256,476.630127,45.583553
1824,256,256,476.043518,46.454720
1856,256,256,475.259308,47.347713
1888,256,256,469.779327,48.725887
1920,256,256,473.417236,49.170975
1952,256,256,465.872925,50.800034
1984,256,256,467.377045,51.466656
2016,256,256,461.612061,52.949886
2048,256,256,460.622223,53.905952
