dx,dy,dz,gFlops,gpu_comp
32,256,256,958.962280,0.404576
64,256,256,1029.783813,0.753504
96,256,256,1035.014526,1.124544
128,256,256,1054.251953,1.472032
160,256,256,1059.156128,1.831520
192,256,256,1065.142334,2.185472
224,256,256,1063.123169,2.554560
256,256,256,1068.655151,2.904384
288,256,256,1070.891724,3.260608
320,256,256,1068.358521,3.631488
352,256,256,1071.968628,3.981184
384,256,256,1073.813477,4.335648
416,256,256,1068.671509,4.719552
448,256,256,1022.519531,5.312000
480,256,256,995.638855,5.845088
512,256,256,898.589355,6.908128
544,256,256,807.501526,8.167840
576,256,256,742.093628,9.410560
608,256,256,678.706360,10.861088
640,256,256,648.909485,11.957696
672,256,256,618.964600,13.163008
704,256,256,608.477356,14.027488
736,256,256,600.209839,14.867104
768,256,256,599.357849,15.535552
800,256,256,600.637695,16.148384
832,256,256,601.914734,16.758688
864,256,256,601.189209,17.424255
896,256,256,602.059204,18.043488
928,256,256,598.718872,18.792160
960,256,256,600.814697,19.372353
992,256,256,594.741943,20.222496
1024,256,256,600.826843,20.663424
1056,256,256,598.567200,21.389601
1088,256,256,594.981262,22.170591
1120,256,256,595.688171,22.795584
1152,256,256,598.806885,23.324768
1184,256,256,597.985718,24.005600
1216,256,256,597.625000,24.669279
1248,256,256,595.307739,25.417025
1280,256,256,594.548157,26.102049
1312,256,256,590.858643,26.921663
1344,256,256,586.422485,27.786913
1376,256,256,579.985229,28.764256
1408,256,256,583.099365,29.275999
1440,256,256,583.646790,29.913280
1472,256,256,577.940430,30.879936
1504,256,256,573.772156,31.780449
1536,256,256,579.093140,32.158401
1568,256,256,580.361755,32.756607
1600,256,256,582.283691,33.314785
1632,256,256,582.143188,33.989281
1664,256,256,585.253662,34.471554
1696,256,256,586.352783,35.068607
1728,256,256,593.227844,35.316193
1760,256,256,595.740845,35.818462
1792,256,256,598.627869,36.293823
1824,256,256,597.059875,37.038944
1856,256,256,594.628601,37.842850
1888,256,256,589.838989,38.807903
1920,256,256,593.474487,39.223904
1952,256,256,588.137207,40.239521
1984,256,256,586.410522,41.019615
2016,256,256,580.975220,42.071167
2048,256,256,583.932312,42.522530
