dx,dy,dz,gFlops,gpu_comp
32,256,256,360.811249,1.290336
64,256,256,704.483459,1.321728
96,256,256,905.914856,1.541760
128,256,256,1178.318359,1.580448
160,256,256,1154.572021,2.016192
192,256,256,905.003845,3.086624
224,256,256,1026.704712,3.174208
256,256,256,1072.944458,3.471328
288,256,256,1146.974731,3.653184
320,256,256,1154.535278,4.032512
352,256,256,1267.133057,4.041600
384,256,256,1107.608521,5.044032
416,256,256,1116.523804,5.420736
448,256,256,1189.087280,5.481472
480,256,256,1179.813843,5.919168
512,256,256,1227.400513,6.068992
544,256,256,1294.611084,6.113536
576,256,256,1150.638428,7.283104
608,256,256,1183.619751,7.473504
640,256,256,1217.636597,7.647072
672,256,256,1213.051392,8.059776
704,256,256,1129.643921,9.067008
736,256,256,1175.325195,9.110720
768,256,256,1183.686890,9.439680
800,256,256,1208.183350,9.633632
832,256,256,1181.544312,10.244864
864,256,256,1234.961670,10.178720
896,256,256,1160.441284,11.233568
928,256,256,1210.853760,11.150368
960,256,256,1202.399414,11.615968
992,256,256,1212.706177,11.901152
1024,256,256,1209.455322,12.318080
1056,256,256,1237.803467,12.412096
1088,256,256,1170.969971,13.518112
1120,256,256,1185.058105,13.750272
1152,256,256,1198.977417,13.978944
1184,256,256,1196.731812,14.394208
1216,256,256,1210.682251,14.612896
1248,256,256,1178.655640,15.404960
1280,256,256,1202.179932,15.490784
1312,256,256,1211.896240,15.750752
1344,256,256,1221.978394,16.001793
1376,256,256,1203.383545,16.635937
1408,256,256,1163.012207,17.613728
1440,256,256,1182.366455,17.719168
1472,256,256,1201.571411,17.823423
1504,256,256,1224.313965,17.872608
1536,256,256,1180.168335,18.935648
1568,256,256,1205.778076,18.919584
1600,256,256,1166.435181,19.956863
1632,256,256,1211.155396,19.604383
1664,256,256,1183.527588,20.455393
1696,256,256,1197.799438,20.600351
1728,256,256,1197.354858,20.996832
1760,256,256,1225.268311,20.898464
1792,256,256,1176.334717,22.163584
1824,256,256,1194.304077,22.219936
1856,256,256,1198.022583,22.539583
1888,256,256,1228.270752,22.363552
1920,256,256,1212.698975,23.034624
1952,256,256,1216.364258,23.347967
1984,256,256,1218.903687,23.681280
2016,256,256,1221.740601,24.007360
2048,256,256,1218.162598,24.460064
