dx,dy,dz,gFlops,gpu_comp
32,256,256,260.102539,1.491616
64,256,256,494.520538,1.569088
96,256,256,695.073120,1.674528
128,256,256,511.854095,3.031904
160,256,256,613.012451,3.164480
192,256,256,708.380005,3.286144
224,256,256,801.400513,3.388832
256,256,256,619.844604,5.007360
288,256,256,678.139771,5.149024
320,256,256,689.272217,5.628736
352,256,256,531.623596,8.027680
384,256,256,565.532104,8.232384
416,256,256,591.759949,8.523136
448,256,256,620.542542,8.753024
480,256,256,658.759460,8.834176
512,256,256,624.854004,9.934432
544,256,256,687.585754,9.592320
576,256,256,654.261719,10.673888
608,256,256,674.963684,10.921312
640,256,256,679.011658,11.427584
672,256,256,695.540161,11.713824
704,256,256,616.720276,13.840000
736,256,256,630.708252,14.148192
768,256,256,649.721741,14.331296
800,256,256,674.798584,14.373664
832,256,256,691.233704,14.593184
864,256,256,700.433105,14.955424
896,256,256,683.948547,15.883136
928,256,256,691.717346,16.265633
960,256,256,692.950378,16.796576
992,256,256,708.126892,16.984480
1024,256,256,687.821228,18.049952
1056,256,256,660.396545,19.387009
1088,256,256,671.346375,19.648705
1120,256,256,675.360046,20.106400
1152,256,256,688.466309,20.287169
1184,256,256,690.359070,20.793535
1216,256,256,678.768311,21.720192
1248,256,256,692.505798,21.849567
1280,256,256,698.014343,22.232960
1312,256,256,702.705750,22.636641
1344,256,256,698.924500,23.314207
1376,256,256,691.256653,24.134081
1408,256,256,666.318237,25.619616
1440,256,256,676.049988,25.824703
1472,256,256,674.485718,26.459808
1504,256,256,682.408325,26.721151
1536,256,256,685.720093,27.157888
1568,256,256,684.318787,27.780449
1600,256,256,673.494812,28.802977
1632,256,256,696.541992,28.406944
1664,256,256,696.219055,28.977377
1696,256,256,695.971191,29.545153
1728,256,256,687.417480,30.477184
1760,256,256,681.456970,31.313087
1792,256,256,684.946899,31.719969
1824,256,256,689.375122,32.079006
1856,256,256,680.142395,33.084896
1888,256,256,686.330017,33.351906
1920,256,256,693.799011,33.552063
1952,256,256,697.238770,33.942978
1984,256,256,693.587769,34.681023
2016,256,256,692.871338,35.276833
2048,256,256,683.462219,36.330143
