dx,dy,dz,gFlops,gpu_comp
32,256,256,1117.427856,0.459808
64,256,256,1146.429565,0.896352
96,256,256,1149.864136,1.340512
128,256,256,1168.688599,1.758560
160,256,256,1173.278809,2.189600
192,256,256,1174.451660,2.624896
224,256,256,1179.088379,3.050336
256,256,256,1184.531250,3.470080
288,256,256,1184.288452,3.904640
320,256,256,1158.473022,4.435168
352,256,256,1138.335083,4.964992
384,256,256,1086.955200,5.672384
416,256,256,985.268860,6.779296
448,256,256,880.811951,8.166592
480,256,256,789.981445,9.755968
512,256,256,742.467346,11.072320
544,256,256,722.828613,12.083968
576,256,256,707.191895,13.077696
608,256,256,679.387451,14.369184
640,256,256,668.599609,15.369504
672,256,256,655.594421,16.458113
704,256,256,649.415283,17.405888
736,256,256,642.944946,18.380192
768,256,256,636.799683,19.364416
800,256,256,643.120239,19.973024
832,256,256,642.650269,20.787136
864,256,256,640.409363,21.662176
896,256,256,641.049500,22.442047
928,256,256,642.069519,23.206623
960,256,256,641.240479,24.037888
992,256,256,635.600769,25.059551
1024,256,256,641.341309,25.636383
1056,256,256,639.093018,26.530527
1088,256,256,636.904297,27.428415
1120,256,256,637.677551,28.200895
1152,256,256,636.123413,29.077503
1184,256,256,638.390015,29.779104
1216,256,256,638.412231,30.582880
1248,256,256,633.680237,31.622080
1280,256,256,628.239929,32.713760
1312,256,256,628.461609,33.519775
1344,256,256,631.902222,34.150368
1376,256,256,627.312805,35.219265
1408,256,256,627.061951,36.052734
1440,256,256,625.515686,36.963264
1472,256,256,619.590820,38.145985
1504,256,256,622.218384,38.810658
1536,256,256,622.322876,39.629761
1568,256,256,619.821777,40.618626
1600,256,256,624.098511,41.163551
1632,256,256,624.487488,41.960670
1664,256,256,630.075378,42.403999
1696,256,256,630.309753,43.203392
1728,256,256,635.662598,43.647873
1760,256,256,636.256287,44.414688
1792,256,256,638.730652,45.047039
1824,256,256,637.708252,45.924961
1856,256,256,631.822510,47.165985
1888,256,256,630.790344,48.057697
1920,256,256,638.869751,48.254177
1952,256,256,623.218323,50.290462
1984,256,256,631.354431,50.456192
2016,256,256,622.555908,51.994591
2048,256,256,627.803528,52.378399
