dx,dy,dz,gFlops,gpu_comp
32,256,256,405.130127,1.521888
64,256,256,545.684753,2.259776
96,256,256,420.567169,4.398080
128,256,256,544.420471,4.530048
160,256,256,670.624695,4.596928
192,256,256,564.937927,6.548288
224,256,256,633.501465,6.812832
256,256,256,712.078003,6.926912
288,256,256,621.942932,8.922144
320,256,256,670.209473,9.199552
352,256,256,696.652954,9.735392
384,256,256,651.608826,11.354592
416,256,256,688.451416,11.642528
448,256,256,637.712891,13.535680
480,256,256,663.261963,13.943872
512,256,256,626.407288,15.748544
544,256,256,628.807373,16.668961
576,256,256,663.384033,16.729568
608,256,256,631.737183,18.543615
640,256,256,637.576172,19.340832
672,256,256,629.878174,20.556065
704,256,256,615.955261,22.021696
736,256,256,644.275269,22.010689
768,256,256,628.990723,23.525791
800,256,256,634.965942,24.275423
832,256,256,653.006470,24.548960
864,256,256,642.949707,25.891905
896,256,256,632.629272,27.288897
928,256,256,652.674561,27.395456
960,256,256,638.184021,28.983616
992,256,256,652.990601,29.270624
1024,256,256,628.212891,31.406561
1056,256,256,631.943787,32.196800
1088,256,256,625.797974,33.498241
1120,256,256,632.168213,34.136002
1152,256,256,637.336487,34.826591
1184,256,256,622.994934,36.617985
1216,256,256,614.397949,38.133888
1248,256,256,652.234253,36.867039
1280,256,256,621.510864,39.681538
1312,256,256,616.076111,41.032383
1344,256,256,608.249268,42.574047
1376,256,256,625.055542,42.415745
1408,256,256,615.957886,44.043201
1440,256,256,595.413208,46.598431
1472,256,256,597.526245,47.465504
1504,256,256,606.686340,47.765121
1536,256,256,589.313965,50.219425
1568,256,256,602.961792,50.105282
1600,256,256,600.091919,51.372353
1632,256,256,595.027100,52.845825
1664,256,256,596.971375,53.706528
1696,256,256,595.800903,54.846882
1728,256,256,591.609924,56.277599
1760,256,256,594.694885,57.022430
1792,256,256,592.042969,58.319263
1824,256,256,595.598938,59.006271
1856,256,256,585.850830,61.040512
1888,256,256,597.607788,60.871361
1920,256,256,589.077454,62.799488
1952,256,256,594.143738,63.301727
1984,256,256,598.870117,63.831680
2016,256,256,593.944336,65.399139
2048,256,256,592.136780,66.640030
