dx,dy,dz,gFlops,gpu_comp
32,256,256,139.768448,3.676096
64,256,256,268.267059,3.830528
96,256,256,386.980103,3.983168
128,256,256,418.678467,4.908800
160,256,256,517.491760,4.964352
192,256,256,593.129822,5.197536
224,256,256,692.121094,5.196512
256,256,256,507.320709,8.102208
288,256,256,572.535706,8.076736
320,256,256,591.288452,8.689536
352,256,256,382.269318,14.784928
384,256,256,413.296295,14.918176
416,256,256,441.501434,15.128896
448,256,256,455.421844,15.794656
480,256,256,496.104431,15.535104
512,256,256,522.532715,15.732672
544,256,256,547.554260,15.952096
576,256,256,565.811646,16.345440
608,256,256,592.082825,16.487968
640,256,256,587.974487,17.477024
672,256,256,612.608337,17.612961
704,256,256,485.275818,23.293247
736,256,256,500.628143,23.605247
768,256,256,517.291565,23.838112
800,256,256,537.771912,23.885696
832,256,256,559.299988,23.884960
864,256,256,573.575073,24.186304
896,256,256,595.541138,24.156960
928,256,256,604.487732,24.649408
960,256,256,604.325317,25.506241
992,256,256,607.681580,26.210880
1024,256,256,523.289490,31.419840
1056,256,256,531.990234,31.871777
1088,256,256,538.531616,32.438721
1120,256,256,549.601318,32.720222
1152,256,256,564.966614,32.739777
1184,256,256,566.622498,33.550880
1216,256,256,578.428406,33.754368
1248,256,256,592.029297,33.846783
1280,256,256,589.900879,34.839905
1312,256,256,599.407715,35.144512
1344,256,256,587.650513,36.721985
1376,256,256,537.745117,41.085442
1408,256,256,546.535095,41.364769
1440,256,256,550.052734,42.034336
1472,256,256,557.672363,42.381344
1504,256,256,569.621460,42.394302
1536,256,256,578.881226,42.603745
1568,256,256,580.772461,43.349697
1600,256,256,585.082703,43.908512
1632,256,256,590.396118,44.383617
1664,256,256,601.300964,44.433186
1696,256,256,551.881653,49.343040
1728,256,256,555.801392,49.919487
1760,256,256,561.739380,50.306465
1792,256,256,561.909729,51.205601
1824,256,256,565.078186,51.827744
1856,256,256,571.964661,52.102047
1888,256,256,575.438721,52.680386
1920,256,256,589.658386,52.281345
1952,256,256,588.781067,53.231903
1984,256,256,589.394714,54.048225
2016,256,256,587.308655,55.115040
2048,256,256,544.966125,60.340160
