dx,dy,dz,gFlops,gpu_comp
32,256,256,119.524124,1.140480
64,256,256,230.348770,1.183552
96,256,256,319.160858,1.281312
128,256,256,337.486572,1.615648
160,256,256,398.786743,1.709120
192,256,256,461.929840,1.770592
224,256,256,510.623505,1.868704
256,256,256,414.759552,2.629280
288,256,256,463.619598,2.646208
320,256,256,496.525330,2.745376
352,256,256,420.940369,3.562176
384,256,256,442.205566,3.699136
416,256,256,451.780701,3.922464
448,256,256,460.125305,4.147584
480,256,256,372.850342,5.484032
512,256,256,368.110168,5.924960
544,256,256,382.058502,6.065440
576,256,256,389.281281,6.303072
608,256,256,396.479675,6.532448
640,256,256,403.178223,6.762016
672,256,256,394.678467,7.253024
704,256,256,404.712677,7.410016
736,256,256,416.966644,7.519168
768,256,256,427.503418,7.652704
800,256,256,438.527618,7.771168
832,256,256,442.087921,8.016928
864,256,256,453.508636,8.115616
896,256,256,473.035889,8.068768
928,256,256,427.708099,9.242592
960,256,256,419.761749,9.742304
992,256,256,420.676697,10.045152
1024,256,256,426.724091,10.222240
1056,256,256,428.086823,10.508128
1088,256,256,424.955353,10.906336
1120,256,256,436.188293,10.937984
1152,256,256,427.375336,11.482496
1184,256,256,436.991455,11.541760
1216,256,256,440.252808,11.765888
1248,256,256,443.473907,11.987808
1280,256,256,453.700562,12.018048
1312,256,256,455.438660,12.271488
1344,256,256,465.706573,12.293632
1376,256,256,427.735748,13.703648
1408,256,256,422.242340,14.204768
1440,256,256,417.063477,14.708000
1472,256,256,421.610260,14.872704
1504,256,256,415.646759,15.414048
1536,256,256,416.265076,15.718624
1568,256,256,432.464813,15.445024
1600,256,256,429.627258,15.864320
1632,256,256,421.754852,16.483648
1664,256,256,429.515930,16.503168
1696,256,256,437.161316,16.526367
1728,256,256,449.343170,16.381697
1760,256,256,455.471222,16.460575
1792,256,256,453.937622,16.816481
1824,256,256,437.499420,17.759905
1856,256,256,433.009949,18.258848
1888,256,256,434.646729,18.503712
1920,256,256,437.388916,18.699360
1952,256,256,437.072021,19.024799
1984,256,256,437.645844,19.311329
2016,256,256,441.603455,19.446943
2048,256,256,437.074768,19.960320
