dx,dy,dz,gFlops,gpu_comp
32,256,256,78.830452,1.729216
64,256,256,151.460983,1.800000
96,256,256,208.635010,1.960096
128,256,256,237.740814,2.293504
160,256,256,283.535675,2.403840
192,256,256,330.570374,2.474176
224,256,256,380.464203,2.508000
256,256,256,265.853668,4.101952
288,256,256,288.145020,4.257696
320,256,256,302.496033,4.506336
352,256,256,315.999084,4.745152
384,256,256,337.939514,4.840448
416,256,256,360.772919,4.911936
448,256,256,380.882111,5.010496
480,256,256,313.306458,6.526272
512,256,256,325.236023,6.706016
544,256,256,333.362244,6.951456
576,256,256,343.171112,7.149984
608,256,256,357.887421,7.236864
640,256,256,371.441528,7.339776
672,256,256,381.084930,7.511744
704,256,256,333.777863,8.984800
736,256,256,339.329559,9.239520
768,256,256,349.848267,9.351360
800,256,256,355.822845,9.577440
832,256,256,365.751740,9.690144
864,256,256,375.676697,9.796992
896,256,256,382.585175,9.976384
928,256,256,347.608978,11.372352
960,256,256,354.249634,11.543968
992,256,256,357.434906,11.822464
1024,256,256,364.166687,11.978240
1056,256,256,370.214081,12.150784
1088,256,256,376.729919,12.302464
1120,256,256,380.332184,12.544352
1152,256,256,355.021179,13.822656
1184,256,256,359.889771,14.014432
1216,256,256,363.337860,14.256608
1248,256,256,366.899933,14.489728
1280,256,256,375.147736,14.534528
1312,256,256,379.009064,14.746112
1344,256,256,384.084900,14.906144
1376,256,256,360.799316,16.245983
1408,256,256,362.327942,16.553663
1440,256,256,362.349762,16.928864
1472,256,256,367.002014,17.085695
1504,256,256,367.461487,17.435295
1536,256,256,376.412079,17.382849
1568,256,256,380.751526,17.542751
1600,256,256,362.974548,18.777472
1632,256,256,362.573456,19.174208
1664,256,256,363.935150,19.477024
1696,256,256,370.329712,19.508801
1728,256,256,376.431030,19.554720
1760,256,256,379.773834,19.741535
1792,256,256,382.680908,19.947777
1824,256,256,367.063263,21.167871
1856,256,256,369.656067,21.388161
1888,256,256,371.325531,21.659103
1920,256,256,371.529541,22.014112
1952,256,256,380.259918,21.867168
1984,256,256,382.533722,22.093536
2016,256,256,380.188202,22.588385
2048,256,256,369.221405,23.628511
