dx,dy,dz,gFlops,gpu_comp
32,256,256,88.541649,5.802944
64,256,256,117.190002,8.768704
96,256,256,131.893509,11.686752
128,256,256,95.614738,21.494688
160,256,256,113.141037,22.706272
192,256,256,133.533569,23.086432
224,256,256,115.439064,31.155968
256,256,256,120.790398,34.029343
288,256,256,134.010880,34.506306
320,256,256,128.051865,40.124542
352,256,256,126.025017,44.846848
384,256,256,134.372253,45.884670
416,256,256,142.706741,46.805279
448,256,256,127.255234,56.526016
480,256,256,134.368652,57.357376
512,256,256,141.120819,58.253887
544,256,256,130.397751,66.984573
576,256,256,134.399002,68.813309
608,256,256,141.335678,69.071327
640,256,256,132.356888,77.638908
672,256,256,135.427475,79.672508
704,256,256,140.675293,80.352768
736,256,256,136.014572,86.883713
768,256,256,135.661606,90.897156
800,256,256,139.467117,92.100960
832,256,256,143.018112,93.406754
864,256,256,135.649933,102.268097
896,256,256,139.349655,103.240028
928,256,256,142.206848,104.778816
960,256,256,136.312256,113.079102
992,256,256,138.857574,114.706528
1024,256,256,143.291031,114.743202
1056,256,256,138.443466,122.472191
1088,256,256,139.336227,125.374977
1120,256,256,140.948730,127.585953
1152,256,256,140.728455,131.436676
1184,256,256,138.224411,137.534912
1216,256,256,141.506302,137.976089
1248,256,256,141.885757,141.228317
1280,256,256,139.100143,147.750305
1312,256,256,140.356995,150.087936
1344,256,256,142.733963,151.188217
1376,256,256,138.880310,159.083008
1408,256,256,140.930893,160.414078
1440,256,256,142.181213,162.617126
1472,256,256,140.107880,168.690750
1504,256,256,141.049118,171.207779
1536,256,256,142.691956,172.837402
1568,256,256,142.732117,176.388550
1600,256,256,140.813889,182.440186
1632,256,256,142.669327,183.668869
1664,256,256,142.276978,187.786652
1696,256,256,140.998871,193.132889
1728,256,256,142.166855,195.160263
1760,256,256,142.961151,197.669952
1792,256,256,140.499283,204.790558
1824,256,256,142.241730,205.894073
1856,256,256,142.595901,208.985886
1888,256,256,140.915543,215.124130
1920,256,256,142.062546,217.003967
1952,256,256,143.369965,218.608795
1984,256,256,143.470642,222.036636
2016,256,256,142.394760,227.322556
2048,256,256,143.245270,229.559708
