dx,dy,dz,gFlops,gpu_comp
32,256,256,140.664871,4.547200
64,256,256,232.480957,5.502656
96,256,256,284.426910,6.746528
128,256,256,228.929672,11.176032
160,256,256,245.664963,13.018368
192,256,256,291.716034,13.155904
224,256,256,254.000275,17.627617
256,256,256,262.279449,19.509920
288,256,256,291.567566,19.743904
320,256,256,267.224243,23.936129
352,256,256,271.075012,25.955711
384,256,256,293.251740,26.174017
416,256,256,309.399658,26.875296
448,256,256,280.151367,31.964289
480,256,256,292.749420,32.773663
512,256,256,305.237823,33.528290
544,256,256,285.208191,38.125599
576,256,256,292.183929,39.404510
608,256,256,302.548126,40.168800
640,256,256,286.466614,44.656609
672,256,256,292.133423,45.979874
704,256,256,299.766632,46.942818
736,256,256,292.823364,50.240257
768,256,256,293.052368,52.383648
800,256,256,299.937469,53.313728
832,256,256,307.177185,54.139488
864,256,256,294.674805,58.607136
896,256,256,299.849304,59.728928
928,256,256,306.111847,60.596512
960,256,256,295.702301,64.892769
992,256,256,300.283966,66.032738
1024,256,256,304.518066,67.215073
1056,256,256,297.309265,70.996223
1088,256,256,299.181976,72.689758
1120,256,256,303.093231,73.862083
1152,256,256,299.824097,76.800797
1184,256,256,299.611908,78.990051
1216,256,256,301.817566,80.532066
1248,256,256,306.727631,81.328255
1280,256,256,299.541840,85.414627
1312,256,256,303.301758,86.464668
1344,256,256,306.641998,87.608734
1376,256,256,299.881348,91.716766
1408,256,256,303.904144,92.607422
1440,256,256,305.171570,94.318787
1472,256,256,301.897156,97.460480
1504,256,256,302.942871,99.235458
1536,256,256,304.214447,100.923233
1568,256,256,303.661957,103.213249
1600,256,256,303.313934,105.440483
1632,256,256,304.106079,107.269150
1664,256,256,306.407288,108.551041
1696,256,256,303.257507,111.787712
1728,256,256,303.656311,113.747330
1760,256,256,306.511169,114.774689
1792,256,256,302.339905,118.473793
1824,256,256,304.953308,119.555969
1856,256,256,305.572296,121.407005
1888,256,256,305.071167,123.703102
1920,256,256,304.717072,125.945953
1952,256,256,304.876587,127.978050
1984,256,256,306.001770,129.597763
2016,256,256,305.258392,132.008743
2048,256,256,304.985474,134.224121
