dx,dy,dz,gFlops,gpu_comp
32,256,256,188.385727,3.395328
64,256,256,190.111191,6.729024
96,256,256,190.587311,10.068320
128,256,256,185.707001,13.777216
160,256,256,170.939896,18.709248
192,256,256,162.433792,23.626783
224,256,256,158.122406,28.316160
256,256,256,158.212738,32.342850
288,256,256,158.130585,36.404610
320,256,256,154.876587,41.299423
352,256,256,157.330368,44.720833
384,256,256,158.510513,48.423138
416,256,256,157.108032,52.926689
448,256,256,159.746185,56.056671
480,256,256,156.417114,61.339008
512,256,256,157.170700,65.114563
544,256,256,157.626678,68.984093
576,256,256,156.960602,73.351936
608,256,256,155.120148,78.345695
640,256,256,154.484680,82.808388
672,256,256,156.980774,85.566269
704,256,256,156.354507,89.999901
736,256,256,154.906693,94.970207
768,256,256,155.504517,98.718369
800,256,256,155.727753,102.684227
832,256,256,155.557861,106.908226
864,256,256,154.275314,111.943039
896,256,256,153.250885,116.865089
928,256,256,154.258606,120.248131
960,256,256,156.384354,122.703712
992,256,256,154.789215,128.100479
1024,256,256,153.983856,132.924347
1056,256,256,153.965195,137.094849
1088,256,256,153.258377,141.900665
1120,256,256,153.641251,145.710205
1152,256,256,154.021393,149.503448
1184,256,256,154.106186,153.571777
1216,256,256,153.516068,158.328644
1248,256,256,153.762970,162.234268
1280,256,256,152.817429,167.423676
1312,256,256,153.471848,170.877502
1344,256,256,153.280487,175.263779
1376,256,256,153.293488,179.421509
1408,256,256,153.036346,183.902588
1440,256,256,152.574432,188.651611
1472,256,256,152.745468,192.627930
1504,256,256,152.823013,196.715622
1536,256,256,152.117767,201.832474
1568,256,256,151.419434,206.987549
1600,256,256,150.746887,212.154083
1632,256,256,151.171860,215.788834
1664,256,256,151.395126,219.695526
1696,256,256,150.568542,225.149689
1728,256,256,150.384888,229.677948
1760,256,256,149.580063,235.189926
1792,256,256,149.167755,240.128006
1824,256,256,149.107697,244.514465
1856,256,256,148.613403,249.631714
1888,256,256,148.574463,254.002274
1920,256,256,147.521088,260.151825
1952,256,256,147.029053,265.372803
1984,256,256,148.614838,266.845123
2016,256,256,146.839462,274.427429
2048,256,256,146.825302,278.810303
