dx,dy,dz,gFlops,gpu_comp
32,256,256,101.142967,6.324032
64,256,256,151.325851,8.453696
96,256,256,178.769714,10.733888
128,256,256,144.497986,17.706305
160,256,256,154.065674,20.758400
192,256,256,180.780243,21.229025
224,256,256,161.578094,27.710560
256,256,256,167.083405,30.625729
288,256,256,182.616577,31.523329
320,256,256,169.695618,37.692863
352,256,256,170.326355,41.308609
384,256,256,183.801682,41.760098
416,256,256,192.977692,43.088959
448,256,256,177.145523,50.550751
480,256,256,183.529846,52.277439
512,256,256,191.540222,53.430561
544,256,256,176.415985,61.636894
576,256,256,184.058807,62.552639
608,256,256,190.581238,63.768063
640,256,256,182.360840,70.150078
672,256,256,184.739838,72.709053
704,256,256,190.981583,73.681923
736,256,256,186.761780,78.771584
768,256,256,185.148026,82.912865
800,256,256,190.557465,83.915810
832,256,256,192.667984,86.316444
864,256,256,185.316895,93.191971
896,256,256,190.745316,93.893150
928,256,256,193.278870,95.971741
960,256,256,188.558044,101.766754
992,256,256,189.879623,104.427071
1024,256,256,192.712692,106.210976
1056,256,256,188.099304,112.216446
1088,256,256,189.630325,114.683487
1120,256,256,191.711380,116.775009
1152,256,256,191.353516,120.336067
1184,256,256,189.364487,124.977821
1216,256,256,192.606888,126.194817
1248,256,256,192.566620,129.542816
1280,256,256,190.079147,134.603165
1312,256,256,191.945740,136.626556
1344,256,256,193.311783,138.969894
1376,256,256,190.866623,144.101410
1408,256,256,192.131805,146.481628
1440,256,256,193.270401,148.928192
1472,256,256,191.787979,153.414429
1504,256,256,191.788483,156.749115
1536,256,256,192.855072,159.198853
1568,256,256,192.931396,162.451202
1600,256,256,192.005646,166.565765
1632,256,256,193.663605,168.442596
1664,256,256,192.721161,172.585251
1696,256,256,191.929153,176.630081
1728,256,256,193.603119,178.406693
1760,256,256,193.457672,181.847137
1792,256,256,192.122299,186.440384
1824,256,256,193.122253,188.787079
1856,256,256,193.004486,192.216354
1888,256,256,193.769821,194.758148
1920,256,256,192.677200,199.182266
1952,256,256,192.805176,202.367554
1984,256,256,193.365112,205.089447
2016,256,256,192.727600,209.086685
2048,256,256,194.049606,210.958466
