dx,dy,dz,gFlops,gpu_comp
32,256,256,191.936707,3.332512
64,256,256,269.078278,4.754240
96,256,256,306.363464,6.263456
128,256,256,243.556274,10.504864
160,256,256,266.329102,12.008288
192,256,256,312.529175,12.279776
224,256,256,283.039886,15.819040
256,256,256,287.131500,17.821280
288,256,256,313.876862,18.340576
320,256,256,303.160767,21.098751
352,256,256,293.397522,23.980928
384,256,256,318.041443,24.133888
416,256,256,332.799561,24.985632
448,256,256,302.567932,29.596128
480,256,256,317.985779,30.172640
512,256,256,330.385712,30.976225
544,256,256,307.692719,35.339584
576,256,256,318.654633,36.131168
608,256,256,329.562408,36.876160
640,256,256,317.936554,40.236416
672,256,256,319.037354,42.102463
704,256,256,326.138489,43.146976
736,256,256,325.607971,45.181698
768,256,256,321.310425,47.776703
800,256,256,330.590271,48.370399
832,256,256,332.503387,50.015778
864,256,256,322.501556,53.550274
896,256,256,328.897003,54.453758
928,256,256,331.839172,55.898495
960,256,256,325.781738,58.901215
992,256,256,328.333191,60.391617
1024,256,256,332.539978,61.551105
1056,256,256,327.598328,64.432060
1088,256,256,328.158783,66.271172
1120,256,256,331.546112,67.523331
1152,256,256,332.915680,69.166847
1184,256,256,328.224182,72.104256
1216,256,256,334.694458,72.621437
1248,256,256,334.347992,74.609756
1280,256,256,329.643951,77.614815
1312,256,256,334.490570,78.402466
1344,256,256,333.941864,80.446686
1376,256,256,332.111267,82.816063
1408,256,256,332.589417,84.620193
1440,256,256,334.704163,85.996574
1472,256,256,335.028778,87.822433
1504,256,256,332.576904,90.393150
1536,256,256,333.515259,92.056671
1568,256,256,334.352844,93.739105
1600,256,256,332.528900,96.176804
1632,256,256,333.336975,97.862526
1664,256,256,334.557281,99.417442
1696,256,256,333.309265,101.708733
1728,256,256,336.350159,102.690880
1760,256,256,334.218842,105.259552
1792,256,256,335.833710,106.658012
1824,256,256,335.541626,108.657120
1856,256,256,335.071381,110.718559
1888,256,256,335.589142,112.453728
1920,256,256,335.202637,114.491585
1952,256,256,334.497223,116.645248
1984,256,256,336.680725,117.788574
2016,256,256,336.566650,119.728958
2048,256,256,335.899200,121.871101
