dx,dy,dz,gFlops,gpu_comp
32,256,256,73.745377,2.218144
64,256,256,108.819748,3.006400
96,256,256,90.011414,5.451904
128,256,256,88.928848,7.357696
160,256,256,109.385605,7.477120
192,256,256,103.956642,9.441120
224,256,256,103.696510,11.042272
256,256,256,115.567444,11.323456
288,256,256,111.082794,13.253184
320,256,256,110.544220,14.797504
352,256,256,119.042084,15.115296
384,256,256,111.484741,17.607201
416,256,256,114.944611,18.500320
448,256,256,121.276794,18.883167
480,256,256,110.754036,22.154207
512,256,256,115.485199,22.663040
544,256,256,108.466881,25.637535
576,256,256,113.398621,25.965055
608,256,256,117.113525,26.538176
640,256,256,112.359901,29.116768
672,256,256,114.688126,29.951967
704,256,256,118.051399,30.484287
736,256,256,113.950142,33.016991
768,256,256,117.090683,33.528446
800,256,256,118.056381,34.639774
832,256,256,115.724968,36.751137
864,256,256,117.310661,37.648769
896,256,256,118.449722,38.667713
928,256,256,117.087830,40.514526
960,256,256,115.755997,42.393791
992,256,256,114.536240,44.273441
1024,256,256,115.755539,45.220222
1056,256,256,114.812050,47.016575
1088,256,256,115.758377,48.045311
1120,256,256,116.596214,49.103008
1152,256,256,115.993210,50.768513
1184,256,256,116.778702,51.827778
1216,256,256,117.289108,52.996895
1248,256,256,117.154770,54.453918
1280,256,256,117.341400,55.761345
1312,256,256,118.130600,56.773537
1344,256,256,117.081284,58.679489
1376,256,256,118.211349,59.502304
1408,256,256,118.555046,60.709568
1440,256,256,116.618065,63.120609
1472,256,256,116.377892,64.656448
1504,256,256,115.780899,66.402657
1536,256,256,116.444092,67.429245
1568,256,256,117.137917,68.426308
1600,256,256,117.147057,69.817314
1632,256,256,116.540314,71.584419
1664,256,256,117.338997,72.491234
1696,256,256,117.457909,73.810493
1728,256,256,117.146530,75.403038
1760,256,256,118.175896,76.130432
1792,256,256,117.958656,77.657379
1824,256,256,117.630478,79.264641
1856,256,256,118.290077,80.205505
1888,256,256,117.993484,81.793442
1920,256,256,116.788063,84.038307
1952,256,256,116.538277,85.622078
1984,256,256,116.772575,86.851105
2016,256,256,117.231346,87.906563
2048,256,256,117.255234,89.283714
