dx,dy,dz,gFlops,gpu_comp
32,256,256,92.646317,4.187680
64,256,256,151.759720,5.112992
96,256,256,183.895370,6.329248
128,256,256,129.653870,11.969504
160,256,256,160.207184,12.108480
192,256,256,182.005737,12.789920
224,256,256,151.364685,17.942177
256,256,256,170.291519,18.226303
288,256,256,183.913666,18.985855
320,256,256,163.169678,23.777281
352,256,256,175.674728,24.293217
384,256,256,186.564758,24.954752
416,256,256,197.845093,25.492928
448,256,256,179.620804,30.239391
480,256,256,188.253418,30.913631
512,256,256,195.333771,31.779297
544,256,256,181.535690,36.331936
576,256,256,188.145355,37.117664
608,256,256,194.299728,37.938751
640,256,256,183.012131,42.398624
672,256,256,189.975296,42.886814
704,256,256,194.584747,43.864735
736,256,256,186.072250,47.956543
768,256,256,189.520447,49.131138
800,256,256,192.191467,50.467007
832,256,256,196.765121,51.265697
864,256,256,190.839035,54.890625
896,256,256,194.272858,55.917473
928,256,256,196.140915,57.362946
960,256,256,192.214691,60.553089
992,256,256,192.575958,62.454144
1024,256,256,197.077316,62.996288
1056,256,256,191.065323,67.009087
1088,256,256,194.136566,67.947456
1120,256,256,193.726898,70.093826
1152,256,256,192.089478,72.711075
1184,256,256,193.100342,74.339615
1216,256,256,195.849884,75.276932
1248,256,256,194.978287,77.603264
1280,256,256,195.505234,79.378563
1312,256,256,193.657654,82.139267
1344,256,256,196.259644,83.027107
1376,256,256,195.180969,85.473724
1408,256,256,194.697037,87.678879
1440,256,256,195.668503,89.226372
1472,256,256,195.657303,91.214401
1504,256,256,194.990021,93.516258
1536,256,256,195.910995,95.056992
1568,256,256,195.811493,97.086655
1600,256,256,195.236816,99.359619
1632,256,256,196.179779,100.859680
1664,256,256,195.619522,103.131844
1696,256,256,197.185165,104.280540
1728,256,256,196.412598,106.666016
1760,256,256,196.204132,108.756737
1792,256,256,197.310684,110.113121
1824,256,256,195.730255,112.984413
1856,256,256,197.038345,114.203362
1888,256,256,197.199738,116.077309
1920,256,256,195.836411,118.866493
1952,256,256,196.661987,120.340286
1984,256,256,197.436325,121.833374
2016,256,256,198.030609,123.426910
2048,256,256,196.918533,126.094177
