dx,dy,dz,gFlops,gpu_comp
32,256,256,225.360321,1.721568
64,256,256,228.878647,3.390208
96,256,256,231.375610,5.030432
128,256,256,232.280289,6.681120
160,256,256,231.792023,8.368992
192,256,256,210.060989,11.081728
224,256,256,167.818390,16.183041
256,256,256,160.614685,19.324415
288,256,256,161.247925,21.654593
320,256,256,156.931213,24.722496
352,256,256,162.230453,26.306433
384,256,256,161.771591,28.779327
416,256,256,159.577362,31.606304
448,256,256,163.085022,33.305473
480,256,256,159.455414,36.496704
512,256,256,161.797714,38.366241
544,256,256,161.728394,40.781601
576,256,256,159.462433,43.794113
608,256,256,162.822189,45.273247
640,256,256,161.677673,47.993408
672,256,256,159.514633,51.076416
704,256,256,158.437088,53.872543
736,256,256,163.234146,54.666145
768,256,256,163.930923,56.800480
800,256,256,160.987137,60.249088
832,256,256,160.207031,62.964161
864,256,256,160.045914,65.451683
896,256,256,159.359314,68.168259
928,256,256,163.451630,68.835167
960,256,256,166.365143,69.961731
992,256,256,163.021622,73.776512
1024,256,256,160.396606,77.402756
1056,256,256,159.515121,80.262688
1088,256,256,159.630096,82.635330
1120,256,256,160.179977,84.773758
1152,256,256,159.799423,87.403519
1184,256,256,159.661575,89.908958
1216,256,256,160.292419,91.975517
1248,256,256,162.741135,92.975586
1280,256,256,164.869553,94.128510
1312,256,256,164.887802,96.471039
1344,256,256,162.980942,99.980225
1376,256,256,160.496017,103.945534
1408,256,256,159.259766,107.188515
1440,256,256,158.530884,110.128639
1472,256,256,158.867905,112.337120
1504,256,256,158.944748,114.723747
1536,256,256,160.117722,116.306366
1568,256,256,161.673599,117.586815
1600,256,256,160.372787,120.959778
1632,256,256,158.714340,124.668190
1664,256,256,158.873062,126.985664
1696,256,256,159.106995,129.237411
1728,256,256,158.328690,132.323135
1760,256,256,157.942642,135.102982
1792,256,256,158.433578,137.133148
1824,256,256,159.189651,138.919006
1856,256,256,160.018173,140.624283
1888,256,256,161.874619,141.408295
1920,256,256,164.374329,141.618149
1952,256,256,163.788483,144.493439
1984,256,256,166.741486,144.261246
2016,256,256,165.241257,147.918915
2048,256,256,163.272552,152.078720
