dx,dy,dz,gFlops,gpu_comp
32,256,256,157.030029,3.926400
64,256,256,151.431870,8.143104
96,256,256,143.195557,12.917216
128,256,256,153.315536,16.086111
160,256,256,176.902176,17.426657
192,256,256,168.767899,21.919905
224,256,256,165.824158,26.027201
256,256,256,167.207794,29.499231
288,256,256,158.891174,34.923679
320,256,256,171.751968,35.898434
352,256,256,170.667206,39.739265
384,256,256,165.980865,44.575935
416,256,256,165.163864,48.529472
448,256,256,164.429550,52.495903
480,256,256,160.849060,57.497631
512,256,256,167.302704,58.964993
544,256,256,166.621094,62.906593
576,256,256,163.443436,67.901955
608,256,256,163.226501,71.769539
640,256,256,166.900986,73.883652
672,256,256,160.000793,80.923454
704,256,256,164.211746,82.602974
736,256,256,164.252945,86.335999
768,256,256,161.706772,91.508255
800,256,256,163.087128,94.514305
832,256,256,164.721039,97.319870
864,256,256,160.292587,103.855042
896,256,256,162.758499,106.069763
928,256,256,164.290756,108.833374
960,256,256,161.783127,114.331329
992,256,256,161.656509,118.234909
1024,256,256,163.038193,121.014626
1056,256,256,160.907364,126.448959
1088,256,256,161.236450,130.014847
1120,256,256,162.659805,132.667648
1152,256,256,160.171967,138.577667
1184,256,256,160.799118,141.871552
1216,256,256,162.488617,144.190918
1248,256,256,160.600677,149.725052
1280,256,256,161.218582,152.975586
1312,256,256,162.217194,155.834717
1344,256,256,159.636993,162.215744
1376,256,256,160.778702,164.898682
1408,256,256,160.473083,169.054886
1440,256,256,159.064133,174.428513
1472,256,256,159.830063,177.450241
1504,256,256,160.888580,180.115005
1536,256,256,159.159546,185.945541
1568,256,256,159.892868,188.948837
1600,256,256,160.355194,192.249054
1632,256,256,158.504593,198.383514
1664,256,256,159.778137,200.661118
1696,256,256,159.638824,204.698471
1728,256,256,158.891113,209.542145
1760,256,256,159.943878,212.017792
1792,256,256,159.390564,216.622055
1824,256,256,158.497955,221.732025
1856,256,256,158.661133,225.390015
1888,256,256,159.813614,227.622650
1920,256,256,159.583267,231.814789
1952,256,256,159.550400,235.726913
1984,256,256,162.081604,235.849625
2016,256,256,159.098251,244.147552
2048,256,256,160.475021,245.895035
