dx,dy,dz,gFlops,gpu_comp
32,256,256,100.989662,6.333632
64,256,256,101.509193,12.602432
96,256,256,102.395973,18.739937
128,256,256,101.961105,25.093151
160,256,256,102.168343,31.302816
192,256,256,102.151688,37.569504
224,256,256,101.930038,43.926399
256,256,256,102.332245,50.004288
288,256,256,101.573502,56.675041
320,256,256,102.328758,62.507488
352,256,256,102.204979,68.841507
384,256,256,102.246704,75.069183
416,256,256,102.371964,81.225441
448,256,256,102.891342,87.031998
480,256,256,102.514313,93.591522
512,256,256,101.821129,100.510590
544,256,256,102.287895,106.305183
576,256,256,102.035545,112.836800
608,256,256,102.321098,118.773117
640,256,256,102.145653,125.239075
672,256,256,102.091972,131.570175
704,256,256,102.780586,136.911942
736,256,256,101.398705,145.085892
768,256,256,102.219421,150.178436
800,256,256,100.967873,158.374969
832,256,256,102.501648,162.245346
864,256,256,101.688217,169.833313
896,256,256,102.423386,174.859268
928,256,256,101.799393,182.214340
960,256,256,102.990089,186.318329
992,256,256,101.757240,194.861542
1024,256,256,102.580086,199.533890
1056,256,256,101.216217,208.542023
1088,256,256,102.046066,213.114212
1120,256,256,101.269775,221.063965
1152,256,256,102.135719,225.452255
1184,256,256,100.489006,235.511932
1216,256,256,101.850418,238.643997
1248,256,256,100.541977,248.111526
1280,256,256,102.298592,250.103683
1312,256,256,100.176956,261.785614
1344,256,256,102.593079,261.855072
1376,256,256,100.902588,272.581207
1408,256,256,102.313248,275.074646
1440,256,256,100.869392,285.353271
1472,256,256,101.967842,288.552185
1504,256,256,101.755997,295.438843
1536,256,256,101.894455,301.314789
1568,256,256,102.241165,306.549103
1600,256,256,101.444275,315.262421
1632,256,256,102.410881,318.532562
1664,256,256,101.103302,328.978668
1696,256,256,102.425415,330.977051
1728,256,256,102.113525,338.251892
1760,256,256,102.152901,344.383026
1792,256,256,101.883728,351.570923
1824,256,256,102.161049,356.877563
1856,256,256,101.608887,365.111938
1888,256,256,102.222755,369.176605
1920,256,256,102.195175,375.535156
1952,256,256,102.401855,381.023499
1984,256,256,103.462425,383.299957
2016,256,256,102.571053,392.866943
2048,256,256,102.187233,400.601959
