dx,dy,dz,gFlops,gpu_comp
32,256,256,212.718674,3.598464
64,256,256,214.656174,7.131968
96,256,256,213.119827,10.775072
128,256,256,184.989639,16.551424
160,256,256,167.196762,22.891008
192,256,256,165.650040,27.725697
224,256,256,163.241516,32.823902
256,256,256,163.123398,37.540192
288,256,256,163.068832,42.246849
320,256,256,160.057495,47.824097
352,256,256,163.526581,51.490498
384,256,256,162.371338,56.571102
416,256,256,162.146942,61.370174
448,256,256,165.212463,64.864639
480,256,256,163.076523,70.408096
512,256,256,160.830475,76.150787
544,256,256,162.924805,79.870148
576,256,256,162.662064,84.704994
608,256,256,158.051025,92.019325
640,256,256,159.643829,95.896034
672,256,256,162.507767,98.916321
704,256,256,161.906799,104.011261
736,256,256,161.206924,109.211136
768,256,256,160.213028,114.666397
800,256,256,161.253937,118.673149
832,256,256,160.935028,123.664642
864,256,256,161.683121,127.826782
896,256,256,160.008057,133.948837
928,256,256,160.630722,138.194946
960,256,256,162.531769,141.288162
992,256,256,162.244583,146.256195
1024,256,256,161.451599,151.715652
1056,256,256,159.983170,157.892838
1088,256,256,161.334854,161.314529
1120,256,256,161.808884,165.572601
1152,256,256,163.672394,168.364227
1184,256,256,163.133392,173.612762
1216,256,256,162.928680,178.529022
1248,256,256,163.184402,182.940033
1280,256,256,159.523834,191.936325
1312,256,256,160.264404,195.825638
1344,256,256,162.594559,197.727036
1376,256,256,162.996399,201.935745
1408,256,256,163.994446,205.374405
1440,256,256,163.446426,210.746246
1472,256,256,162.789536,216.298813
1504,256,256,162.451584,221.460709
1536,256,256,161.834930,227.034439
1568,256,256,159.732391,234.815002
1600,256,256,160.866501,237.917923
1632,256,256,161.757141,241.340103
1664,256,256,162.023148,245.668259
1696,256,256,161.375290,251.397888
1728,256,256,161.629791,255.737915
1760,256,256,161.514465,260.659790
1792,256,256,161.643936,265.186493
1824,256,256,161.614349,269.971375
1856,256,256,161.030426,275.703857
1888,256,256,161.303299,279.982910
1920,256,256,159.725281,287.541382
1952,256,256,156.172424,298.984222
1984,256,256,161.106918,294.577972
2016,256,256,156.405273,308.327271
2048,256,256,159.865250,306.442261
