dx,dy,dz,gFlops,gpu_comp
32,256,256,59.348259,2.296864
64,256,256,78.609337,3.468160
96,256,256,88.509415,4.620352
128,256,256,80.690628,6.757408
160,256,256,82.498123,8.261696
192,256,256,89.804359,9.107456
224,256,256,82.256256,11.600384
256,256,256,82.734619,13.180928
288,256,256,90.693855,13.527200
320,256,256,88.084747,15.475424
352,256,256,86.065590,17.422337
384,256,256,90.662064,18.042591
416,256,256,96.083839,18.443199
448,256,256,89.342819,21.360512
480,256,256,91.365952,22.379488
512,256,256,94.722054,23.025663
544,256,256,91.071785,25.445345
576,256,256,91.183289,26.909184
608,256,256,94.443848,27.423519
640,256,256,91.704819,29.729055
672,256,256,92.726257,30.871649
704,256,256,94.901611,31.600384
736,256,256,93.234329,33.627552
768,256,256,93.027809,35.167519
800,256,256,94.382652,36.106976
832,256,256,96.502014,36.726559
864,256,256,92.131798,39.948223
896,256,256,94.476486,40.399647
928,256,256,95.773346,41.275906
960,256,256,94.623932,43.217888
992,256,256,94.181000,44.868511
1024,256,256,96.013702,45.431808
1056,256,256,94.755638,47.473598
1088,256,256,94.527924,49.030018
1120,256,256,95.807083,49.798206
1152,256,256,96.098358,51.065762
1184,256,256,93.499504,53.943073
1216,256,256,95.795685,54.073055
1248,256,256,95.674263,55.566463
1280,256,256,95.144966,57.308289
1312,256,256,95.093376,58.772865
1344,256,256,96.303383,59.449886
1376,256,256,94.515747,62.016544
1408,256,256,95.583809,62.749695
1440,256,256,96.107620,63.826050
1472,256,256,95.797638,65.455521
1504,256,256,95.631592,66.994591
1536,256,256,96.518723,67.791138
1568,256,256,96.220398,69.418015
1600,256,256,95.557571,71.326050
1632,256,256,96.354156,72.151108
1664,256,256,96.215134,73.672127
1696,256,256,95.813438,75.403709
1728,256,256,96.212402,76.507843
1760,256,256,96.270226,77.877853
1792,256,256,96.168335,79.377823
1824,256,256,96.330093,80.659615
1856,256,256,96.362900,82.046753
1888,256,256,96.607819,83.249763
1920,256,256,96.355469,84.882500
1952,256,256,96.901917,85.810562
1984,256,256,97.184288,86.963875
2016,256,256,96.494499,88.998207
2048,256,256,96.855507,90.073891
