dx,dy,dz,gFlops,gpu_comp
32,256,256,150.721222,1.739264
64,256,256,153.956024,3.405440
96,256,256,155.025269,5.072928
128,256,256,154.202347,6.800000
160,256,256,155.306824,8.439552
192,256,256,100.370422,15.670592
224,256,256,100.073997,18.336512
256,256,256,100.337440,20.900991
288,256,256,99.810066,23.637856
320,256,256,100.443855,26.098560
352,256,256,100.264816,28.759680
384,256,256,100.219391,31.388416
416,256,256,100.401527,33.942432
448,256,256,100.638817,36.467201
480,256,256,100.518379,39.118816
512,256,256,99.844070,42.008545
544,256,256,107.316353,41.526272
576,256,256,107.037941,44.083359
608,256,256,120.182419,41.443134
640,256,256,119.909569,43.723618
672,256,256,131.906860,41.734177
704,256,256,135.936539,42.425442
736,256,256,146.026550,41.289150
768,256,256,146.944229,42.815266
800,256,256,149.799805,43.749058
832,256,256,151.142410,45.094849
864,256,256,150.406677,47.058334
896,256,256,150.298721,48.836288
928,256,256,150.662918,50.458176
960,256,256,150.999878,52.081631
992,256,256,151.263550,53.723873
1024,256,256,150.758499,55.642689
1056,256,256,150.388855,57.522560
1088,256,256,150.801193,59.103615
1120,256,256,150.200897,61.085121
1152,256,256,151.015671,62.491425
1184,256,256,149.754272,64.768288
1216,256,256,151.041229,65.952003
1248,256,256,150.172455,68.079170
1280,256,256,152.000397,68.985085
1312,256,256,149.947128,71.677956
1344,256,256,152.241791,72.319489
1376,256,256,150.427277,74.934494
1408,256,256,151.218674,76.275871
1440,256,256,150.227158,78.524284
1472,256,256,151.177505,79.764671
1504,256,256,150.783020,81.711906
1536,256,256,151.104248,83.273056
1568,256,256,151.294586,84.900963
1600,256,256,150.463943,87.111900
1632,256,256,150.886917,88.605057
1664,256,256,150.279221,90.707741
1696,256,256,151.062775,91.972572
1728,256,256,150.939011,93.784737
1760,256,256,150.902039,95.544899
1792,256,256,150.704193,97.409790
1824,256,256,150.623550,99.202339
1856,256,256,150.939941,100.731133
1888,256,256,151.447159,102.124702
1920,256,256,151.611801,103.742851
1952,256,256,151.142639,105.799294
1984,256,256,153.027847,106.208961
2016,256,256,152.202316,108.507362
2048,256,256,151.573761,110.686813
