dx,dy,dz,gFlops,gpu_comp
32,256,256,151.440079,1.731008
64,256,256,153.792725,3.409056
96,256,256,155.040924,5.072416
128,256,256,154.284393,6.796384
160,256,256,155.226776,8.443904
192,256,256,100.363869,15.671616
224,256,256,100.095131,18.332640
256,256,256,100.395386,20.888927
288,256,256,99.844131,23.629791
320,256,256,100.367928,26.118303
352,256,256,100.235596,28.768064
384,256,256,100.186401,31.398752
416,256,256,100.413170,33.938496
448,256,256,102.914574,35.660801
480,256,256,109.866928,35.790207
512,256,256,116.576630,35.978943
544,256,256,117.153305,38.039455
576,256,256,116.866348,40.375969
608,256,256,117.281738,42.468128
640,256,256,135.043243,38.823711
672,256,256,135.013687,40.773823
704,256,256,135.874146,42.444927
736,256,256,145.940353,41.313538
768,256,256,146.898987,42.828449
800,256,256,149.766937,43.758656
832,256,256,151.084198,45.112225
864,256,256,150.397476,47.061214
896,256,256,150.331635,48.825600
928,256,256,150.655472,50.460670
960,256,256,150.993759,52.083744
992,256,256,151.254379,53.727135
1024,256,256,150.703293,55.663071
1056,256,256,150.378143,57.526657
1088,256,256,150.809448,59.100384
1120,256,256,150.124374,61.116257
1152,256,256,150.971603,62.509663
1184,256,256,149.761597,64.765121
1216,256,256,151.087204,65.931938
1248,256,256,150.163498,68.083229
1280,256,256,152.015625,68.978172
1312,256,256,149.890335,71.705116
1344,256,256,152.238068,72.321251
1376,256,256,150.433197,74.931549
1408,256,256,151.240997,76.264610
1440,256,256,150.161789,78.558464
1472,256,256,151.206558,79.749344
1504,256,256,150.827438,81.687843
1536,256,256,151.134674,83.256287
1568,256,256,151.326874,84.882851
1600,256,256,150.440445,87.125504
1632,256,256,150.885452,88.605919
1664,256,256,150.300888,90.694656
1696,256,256,151.064499,91.971519
1728,256,256,150.929138,93.790878
1760,256,256,150.878082,95.560066
1792,256,256,150.640945,97.450691
1824,256,256,150.612869,99.209373
1856,256,256,150.881699,100.770020
1888,256,256,151.475342,102.105698
1920,256,256,151.617828,103.738724
1952,256,256,151.131805,105.806877
1984,256,256,153.017380,106.216225
2016,256,256,152.176376,108.525856
2048,256,256,151.608414,110.661507
