dx,dy,dz,gFlops,gpu_comp
32,256,256,151.263916,1.733024
64,256,256,153.989304,3.404704
96,256,256,155.281891,5.064544
128,256,256,154.351257,6.793440
160,256,256,155.320969,8.438784
192,256,256,100.384155,15.668448
224,256,256,100.126938,18.326817
256,256,256,100.354179,20.897505
288,256,256,99.850754,23.628223
320,256,256,100.464180,26.093281
352,256,256,100.241165,28.766464
384,256,256,100.249641,31.378944
416,256,256,100.352333,33.959072
448,256,256,100.621071,36.473633
480,256,256,100.514107,39.120480
512,256,256,99.838974,42.010689
544,256,256,100.373489,44.398655
576,256,256,111.662148,42.257759
608,256,256,112.067680,44.444000
640,256,256,111.777046,46.904800
672,256,256,124.945717,44.059326
704,256,256,139.007782,41.488094
736,256,256,137.067703,43.987839
768,256,256,149.316818,42.134945
800,256,256,147.989288,44.284286
832,256,256,149.681931,45.534847
864,256,256,150.392258,47.062847
896,256,256,150.309158,48.832897
928,256,256,150.639236,50.466110
960,256,256,151.047760,52.065121
992,256,256,151.327728,53.701088
1024,256,256,150.758408,55.642719
1056,256,256,150.398224,57.518974
1088,256,256,150.822510,59.095264
1120,256,256,150.235062,61.071232
1152,256,256,151.030899,62.485119
1184,256,256,149.795288,64.750557
1216,256,256,151.123657,65.916031
1248,256,256,150.238480,68.049248
1280,256,256,152.054276,68.960640
1312,256,256,149.918762,71.691521
1344,256,256,152.264694,72.308609
1376,256,256,150.412567,74.941826
1408,256,256,151.264801,76.252609
1440,256,256,150.183517,78.547104
1472,256,256,151.199341,79.753151
1504,256,256,150.852264,81.674400
1536,256,256,151.148041,83.248924
1568,256,256,151.289230,84.903969
1600,256,256,150.521606,87.078529
1632,256,256,150.921265,88.584892
1664,256,256,150.300262,90.695038
1696,256,256,151.086258,91.958275
1728,256,256,150.977493,93.760834
1760,256,256,150.909470,95.540192
1792,256,256,150.686508,97.421219
1824,256,256,150.620239,99.204514
1856,256,256,150.926468,100.740128
1888,256,256,151.496094,102.091713
1920,256,256,151.666107,103.705696
1952,256,256,151.156799,105.789375
1984,256,256,153.037445,106.202301
2016,256,256,152.240799,108.479935
2048,256,256,151.643723,110.635742
