dx,dy,dz,gFlops,gpu_comp
32,256,256,151.104874,1.734848
64,256,256,153.982071,3.404864
96,256,256,155.118210,5.069888
128,256,256,154.373795,6.792448
160,256,256,155.350403,8.437184
192,256,256,100.405281,15.665152
224,256,256,100.072769,18.336737
256,256,256,100.389236,20.890207
288,256,256,99.819527,23.635616
320,256,256,100.432152,26.101601
352,256,256,100.224220,28.771328
384,256,256,100.212036,31.390720
416,256,256,100.413078,33.938526
448,256,256,102.928886,35.655842
480,256,256,109.908783,35.776577
512,256,256,119.505104,35.097279
544,256,256,120.041313,37.124287
576,256,256,119.763359,39.399296
608,256,256,137.568359,36.205536
640,256,256,137.241379,38.201889
672,256,256,137.208710,40.121536
704,256,256,138.131470,41.751297
736,256,256,136.197571,44.268864
768,256,256,146.904922,42.826721
800,256,256,145.456818,45.055298
832,256,256,151.141129,45.095230
864,256,256,150.454361,47.043423
896,256,256,150.324249,48.827999
928,256,256,150.695221,50.447361
960,256,256,151.008408,52.078690
992,256,256,151.324036,53.702400
1024,256,256,150.772018,55.637695
1056,256,256,150.460663,57.495106
1088,256,256,150.831406,59.091778
1120,256,256,150.196655,61.086849
1152,256,256,151.033142,62.484192
1184,256,256,149.831192,64.735039
1216,256,256,151.128952,65.913727
1248,256,256,150.177185,68.077026
1280,256,256,152.077209,68.950241
1312,256,256,149.985519,71.659615
1344,256,256,152.245499,72.317726
1376,256,256,150.506897,74.894852
1408,256,256,151.214355,76.278046
1440,256,256,150.215836,78.530205
1472,256,256,151.217422,79.743614
1504,256,256,150.838959,81.681602
1536,256,256,151.127243,83.260384
1568,256,256,151.351929,84.868797
1600,256,256,150.472015,87.107231
1632,256,256,150.935928,88.576286
1664,256,256,150.283936,90.704895
1696,256,256,151.092636,91.954399
1728,256,256,150.993164,93.751106
1760,256,256,150.932571,95.525566
1792,256,256,150.704834,97.409378
1824,256,256,150.607132,99.213150
1856,256,256,150.938599,100.732033
1888,256,256,151.487793,102.097313
1920,256,256,151.709549,103.676003
1952,256,256,151.127136,105.810143
1984,256,256,153.057861,106.188126
2016,256,256,152.236404,108.483070
2048,256,256,151.651352,110.630173
