dx,dy,dz,gFlops,gpu_comp
32,256,256,153.959534,2.519968
64,256,256,155.766449,4.981472
96,256,256,157.164749,7.405728
128,256,256,156.411514,9.921856
160,256,256,157.167603,12.342656
192,256,256,101.414268,22.953760
224,256,256,101.112907,26.859200
256,256,256,101.440849,30.596992
288,256,256,100.836823,34.627808
320,256,256,101.512619,38.219200
352,256,256,101.339920,42.112766
384,256,256,103.573517,44.950462
416,256,256,103.765839,48.606079
448,256,256,113.695320,47.773502
480,256,256,129.293396,45.010784
512,256,256,128.416641,48.339294
544,256,256,128.979050,51.136543
576,256,256,142.283234,49.081791
608,256,256,142.705750,51.655167
640,256,256,142.472992,54.462688
672,256,256,142.409317,57.211391
704,256,256,143.331528,59.550114
736,256,256,152.118301,58.660801
768,256,256,156.172180,59.622368
800,256,256,154.421295,62.810818
832,256,256,156.682297,64.380608
864,256,256,155.467331,67.379265
896,256,256,156.666397,69.339996
928,256,256,155.764496,72.232254
960,256,256,157.321304,73.983582
992,256,256,155.649460,77.270851
1024,256,256,156.907578,79.123901
1056,256,256,155.251938,82.466690
1088,256,256,156.194778,84.452797
1120,256,256,154.943039,87.639038
1152,256,256,156.219604,89.406403
1184,256,256,153.871872,93.291939
1216,256,256,155.778473,94.640671
1248,256,256,154.070007,98.208290
1280,256,256,156.611679,99.091743
1312,256,256,153.635544,103.536575
1344,256,256,156.791199,103.927200
1376,256,256,154.409744,108.042686
1408,256,256,156.520691,109.064285
1440,256,256,154.805664,112.778755
1472,256,256,156.070328,114.350784
1504,256,256,155.686691,117.124573
1536,256,256,155.821350,119.513214
1568,256,256,156.322220,121.612160
1600,256,256,155.339767,124.878883
1632,256,256,156.593262,126.356834
1664,256,256,154.832169,130.299805
1696,256,256,156.582153,131.321320
1728,256,256,156.139023,134.178818
1760,256,256,156.263260,136.554947
1792,256,256,155.798615,139.452423
1824,256,256,156.278427,141.506851
1856,256,256,155.569702,144.645401
1888,256,256,156.341415,146.412994
1920,256,256,156.372742,148.864731
1952,256,256,156.709885,151.020218
1984,256,256,158.051208,152.193283
2016,256,256,156.853912,155.828476
2048,256,256,156.343750,158.818497
