dx,dy,dz,gFlops,gpu_comp
32,256,256,153.830612,2.522080
64,256,256,155.621506,4.986112
96,256,256,157.161346,7.405888
128,256,256,156.304626,9.928640
160,256,256,157.130524,12.345568
192,256,256,116.091393,20.051777
224,256,256,115.810577,23.450464
256,256,256,116.149178,26.722401
288,256,256,115.392487,30.259840
320,256,256,101.469551,38.235424
352,256,256,101.299652,42.129505
384,256,256,103.570633,44.951714
416,256,256,103.741043,48.617695
448,256,256,104.149673,52.152096
480,256,256,118.699142,49.028130
512,256,256,117.940453,52.633087
544,256,256,118.460701,55.677055
576,256,256,128.758072,54.237503
608,256,256,140.209930,52.574657
640,256,256,139.965881,55.438240
672,256,256,153.172989,53.191071
704,256,256,157.036774,54.352928
736,256,256,154.905884,57.605183
768,256,256,156.186676,59.616833
800,256,256,154.423355,62.809982
832,256,256,156.653336,64.392509
864,256,256,155.477219,67.374977
896,256,256,156.588058,69.374687
928,256,256,155.711853,72.256676
960,256,256,157.302185,73.992577
992,256,256,155.650192,77.270493
1024,256,256,156.834686,79.160675
1056,256,256,155.188095,82.500610
1088,256,256,156.169510,84.466461
1120,256,256,154.913116,87.655968
1152,256,256,156.158569,89.441345
1184,256,256,153.850510,93.304893
1216,256,256,155.783997,94.637314
1248,256,256,154.084076,98.199326
1280,256,256,156.639969,99.073853
1312,256,256,153.689926,103.499939
1344,256,256,156.816849,103.910210
1376,256,256,154.414917,108.039070
1408,256,256,156.501083,109.077950
1440,256,256,154.767563,112.806526
1472,256,256,156.059753,114.358528
1504,256,256,155.683624,117.126877
1536,256,256,155.793060,119.534912
1568,256,256,156.294495,121.633728
1600,256,256,155.260513,124.942627
1632,256,256,156.569153,126.376289
1664,256,256,154.771591,130.350815
1696,256,256,156.547104,131.350723
1728,256,256,156.120544,134.194687
1760,256,256,156.248550,136.567810
1792,256,256,155.748093,139.497665
1824,256,256,156.254547,141.528473
1856,256,256,155.538300,144.674591
1888,256,256,156.329941,146.423737
1920,256,256,156.362335,148.874649
1952,256,256,156.642120,151.085541
1984,256,256,158.031677,152.212097
2016,256,256,156.858414,155.824005
2048,256,256,156.321106,158.841507
