dx,dy,dz,gFlops,gpu_comp
32,256,256,153.959534,2.519968
64,256,256,155.917694,4.976640
96,256,256,157.209579,7.403616
128,256,256,156.434219,9.920416
160,256,256,157.200195,12.340096
192,256,256,101.409317,22.954880
224,256,256,101.137375,26.852703
256,256,256,101.443504,30.596191
288,256,256,100.807762,34.637791
320,256,256,101.540672,38.208641
352,256,256,101.345535,42.110432
384,256,256,101.299171,45.959679
416,256,256,101.502945,49.689697
448,256,256,101.918755,53.293663
480,256,256,116.410034,49.992226
512,256,256,115.640068,53.680096
544,256,256,126.614052,52.091713
576,256,256,126.341881,55.274754
608,256,256,140.296356,52.542271
640,256,256,153.235962,50.637344
672,256,256,156.065445,52.205250
704,256,256,157.061279,54.344448
736,256,256,155.012833,57.565441
768,256,256,156.243958,59.594975
800,256,256,154.487808,62.783775
832,256,256,156.698730,64.373856
864,256,256,155.526566,67.353600
896,256,256,156.728806,69.312386
928,256,256,155.783188,72.223587
960,256,256,157.373917,73.958847
992,256,256,155.739319,77.226273
1024,256,256,156.939056,79.108032
1056,256,256,155.271286,82.456413
1088,256,256,156.183060,84.459137
1120,256,256,155.000763,87.606400
1152,256,256,156.304977,89.357567
1184,256,256,153.930542,93.256386
1216,256,256,155.868683,94.585892
1248,256,256,154.163284,98.148865
1280,256,256,156.699524,99.036194
1312,256,256,153.767471,103.447746
1344,256,256,156.897247,103.856956
1376,256,256,154.476913,107.995712
1408,256,256,156.579712,109.023170
1440,256,256,154.840240,112.753571
1472,256,256,156.126724,114.309471
1504,256,256,155.755188,117.073059
1536,256,256,155.890793,119.459969
1568,256,256,156.365005,121.578880
1600,256,256,155.356812,124.865181
1632,256,256,156.635712,126.322594
1664,256,256,154.839279,130.293823
1696,256,256,156.622955,131.287109
1728,256,256,156.199615,134.126755
1760,256,256,156.301575,136.521469
1792,256,256,155.835571,139.419357
1824,256,256,156.304489,141.483261
1856,256,256,155.595612,144.621307
1888,256,256,156.385406,146.371811
1920,256,256,156.385818,148.852295
1952,256,256,156.702194,151.027618
1984,256,256,158.127182,152.120163
2016,256,256,156.911133,155.771652
2048,256,256,156.380341,158.781342
