dx,dy,dz,gFlops,gpu_comp
32,256,256,155.480530,3.304608
64,256,256,156.901886,6.549344
96,256,256,158.193970,9.743776
128,256,256,157.541931,13.045472
160,256,256,158.007599,16.258783
192,256,256,101.319817,30.426559
224,256,256,101.533134,35.423073
256,256,256,101.920212,40.329762
288,256,256,101.226486,45.681919
320,256,256,102.051216,50.347488
352,256,256,108.879089,51.909184
384,256,256,108.862434,56.636864
416,256,256,109.077240,61.235775
448,256,256,109.633400,65.611679
480,256,256,109.173943,70.594078
512,256,256,123.704094,66.455650
544,256,256,126.119690,69.256737
576,256,256,125.925507,73.443741
608,256,256,126.221199,77.342339
640,256,256,139.804840,73.502785
672,256,256,139.761566,77.201820
704,256,256,154.821030,73.011070
736,256,256,156.137772,75.686050
768,256,256,157.468414,78.309380
800,256,256,155.533676,82.586975
832,256,256,157.976395,84.562370
864,256,256,156.728516,88.513954
896,256,256,158.018921,91.042656
928,256,256,156.896103,94.968994
960,256,256,158.960602,96.967842
992,256,256,156.964157,101.474564
1024,256,256,158.224548,103.913536
1056,256,256,156.299255,108.480835
1088,256,256,157.391846,110.992256
1120,256,256,156.099091,115.202972
1152,256,256,157.534637,117.414688
1184,256,256,154.900787,122.728127
1216,256,256,156.989700,124.367935
1248,256,256,155.006409,129.273926
1280,256,256,157.822830,130.222534
1312,256,256,154.658310,136.209244
1344,256,256,158.132599,136.465820
1376,256,256,155.484497,142.094528
1408,256,256,157.814316,143.252518
1440,256,256,155.783081,148.418564
1472,256,256,157.339813,150.215652
1504,256,256,156.849472,153.961029
1536,256,256,157.070984,157.015045
1568,256,256,157.548721,159.800156
1600,256,256,156.408829,164.249756
1632,256,256,157.883209,165.970245
1664,256,256,155.856979,171.424576
1696,256,256,157.843094,172.522720
1728,256,256,157.335312,176.345154
1760,256,256,157.521667,179.398331
1792,256,256,156.973969,183.297440
1824,256,256,157.512115,185.933182
1856,256,256,156.755814,190.107971
1888,256,256,157.566025,192.391296
1920,256,256,157.511032,195.720474
1952,256,256,157.915222,198.473190
1984,256,256,159.143433,200.169983
2016,256,256,158.114288,204.722427
2048,256,256,157.525269,208.749634
