dx,dy,dz,gFlops,gpu_comp
32,256,256,156.629883,4.083712
64,256,256,157.158813,8.139936
96,256,256,158.632858,12.096448
128,256,256,157.898727,16.203585
160,256,256,158.163727,20.220545
192,256,256,102.071098,37.599167
224,256,256,101.838638,43.965824
256,256,256,102.215744,50.061279
288,256,256,101.486862,56.723423
320,256,256,111.731468,57.247200
352,256,256,111.590408,63.051521
384,256,256,124.566566,61.618271
416,256,256,138.294800,60.126686
448,256,256,155.478394,57.595390
480,256,256,154.935837,61.925442
512,256,256,153.844894,66.522209
544,256,256,154.401764,70.424927
576,256,256,154.094513,74.716255
608,256,256,158.199677,76.820610
640,256,256,158.011765,80.959969
672,256,256,157.850967,85.094559
704,256,256,159.040466,88.479935
736,256,256,156.762711,93.845795
768,256,256,158.133728,97.077026
800,256,256,156.053543,102.469856
832,256,256,158.606918,104.853027
864,256,256,157.209015,109.854050
896,256,256,158.512253,112.986076
928,256,256,157.532639,117.748993
960,256,256,159.253998,120.492676
992,256,256,157.473724,125.916702
1024,256,256,158.717148,128.960251
1056,256,256,156.673935,134.724609
1088,256,256,157.887665,137.740128
1120,256,256,156.687775,142.877121
1152,256,256,157.954651,145.780640
1184,256,256,155.472656,152.222015
1216,256,256,157.599350,154.226471
1248,256,256,155.513184,160.408417
1280,256,256,158.353043,161.570969
1312,256,256,155.054352,169.133499
1344,256,256,158.676270,169.303940
1376,256,256,156.072937,176.226242
1408,256,256,158.344833,177.737274
1440,256,256,156.180130,184.296249
1472,256,256,157.821762,186.432098
1504,256,256,157.477188,190.901764
1536,256,256,157.652985,194.746109
1568,256,256,158.224487,198.085251
1600,256,256,156.871979,203.870499
1632,256,256,158.439255,205.890884
1664,256,256,156.292404,212.811554
1696,256,256,158.432755,213.973831
1728,256,256,157.962173,218.660538
1760,256,256,158.046768,222.590591
1792,256,256,157.506180,227.415558
1824,256,256,158.037659,230.698105
1856,256,256,157.240173,235.936005
1888,256,256,158.114746,238.676346
1920,256,256,158.115707,242.720230
1952,256,256,158.541626,246.102631
1984,256,256,160.059967,247.764282
2016,256,256,158.624496,254.038788
2048,256,256,158.012711,259.070343
