dx,dy,dz,gFlops,gpu_comp
32,256,256,156.959579,4.876800
64,256,256,157.390747,9.726880
96,256,256,158.629150,14.476416
128,256,256,157.904007,19.390528
160,256,256,158.076706,24.211679
192,256,256,122.289803,37.556385
224,256,256,121.909912,43.952320
256,256,256,122.395424,50.031967
288,256,256,121.456352,56.721153
320,256,256,122.430489,62.522049
352,256,256,122.183266,68.913406
384,256,256,122.273293,75.122910
416,256,256,126.695992,78.542236
448,256,256,127.166328,84.271103
480,256,256,126.897385,90.481827
512,256,256,139.852997,87.573151
544,256,256,154.458725,84.247932
576,256,256,153.960236,89.492516
608,256,256,154.772171,93.968765
640,256,256,157.893417,96.959137
672,256,256,157.720535,101.918686
704,256,256,158.795761,106.048988
736,256,256,156.668243,112.374977
768,256,256,158.048416,116.236862
800,256,256,155.836777,122.798431
832,256,256,158.505798,125.559906
864,256,256,157.146637,131.516861
896,256,256,158.448563,135.267197
928,256,256,157.324295,141.099335
960,256,256,159.406250,144.058426
992,256,256,157.310623,150.843430
1024,256,256,158.719986,154.326721
1056,256,256,156.556229,161.349030
1088,256,256,157.782532,164.946365
1120,256,256,156.624710,171.052933
1152,256,256,157.949005,174.465027
1184,256,256,155.300186,182.369629
1216,256,256,157.404816,184.794205
1248,256,256,155.362671,192.150146
1280,256,256,158.233414,193.501602
1312,256,256,154.860382,202.659195
1344,256,256,158.548309,202.773148
1376,256,256,155.917435,211.104034
1408,256,256,158.228577,212.858276
1440,256,256,155.980331,220.833755
1472,256,256,157.594681,223.428741
1504,256,256,157.331741,228.667419
1536,256,256,157.501419,233.281082
1568,256,256,158.054337,237.308029
1600,256,256,156.818771,244.058945
1632,256,256,158.322556,246.575623
1664,256,256,156.071213,255.037064
1696,256,256,158.322021,256.246124
1728,256,256,157.761353,262.008820
1760,256,256,157.823074,266.756470
1792,256,256,157.293488,272.521057
1824,256,256,157.862656,276.387390
1856,256,256,157.127792,282.551605
1888,256,256,157.874619,286.063507
1920,256,256,157.963104,290.749084
1952,256,256,158.247772,295.063171
1984,256,256,159.765732,297.050873
2016,256,256,158.386230,304.470978
2048,256,256,157.745636,310.559906
