dx,dy,dz,gFlops,gpu_comp
32,256,256,157.301224,4.866208
64,256,256,157.149307,9.741824
96,256,256,158.645279,14.474944
128,256,256,157.886551,19.392672
160,256,256,158.070007,24.212704
192,256,256,102.202827,44.937729
224,256,256,101.872322,52.597439
256,256,256,102.295944,59.862431
288,256,256,108.616844,63.426113
320,256,256,117.183128,65.321732
352,256,256,119.390633,70.525345
384,256,256,119.447823,76.899902
416,256,256,119.598183,83.203491
448,256,256,120.095207,89.232925
480,256,256,127.967400,89.725250
512,256,256,140.721237,87.032829
544,256,256,154.940170,83.986145
576,256,256,154.604385,89.119652
608,256,256,155.132553,93.750465
640,256,256,154.925827,98.816383
672,256,256,157.836899,101.843552
704,256,256,158.857498,106.007774
736,256,256,156.578979,112.439041
768,256,256,158.009216,116.265694
800,256,256,155.774216,122.847748
832,256,256,158.471832,125.586815
864,256,256,157.202988,131.469727
896,256,256,158.446838,135.268677
928,256,256,157.301697,141.119614
960,256,256,159.374222,144.087387
992,256,256,157.359940,150.796158
1024,256,256,158.700760,154.345413
1056,256,256,156.521118,161.385223
1088,256,256,157.832321,164.894333
1120,256,256,156.616898,171.061478
1152,256,256,157.907608,174.510757
1184,256,256,155.279556,182.393860
1216,256,256,157.421036,184.775162
1248,256,256,155.365585,192.146530
1280,256,256,158.227875,193.508377
1312,256,256,154.913773,202.589340
1344,256,256,158.589752,202.720154
1376,256,256,155.944702,211.067139
1408,256,256,158.222748,212.866119
1440,256,256,156.038513,220.751419
1472,256,256,157.624420,223.386597
1504,256,256,157.365646,228.618149
1536,256,256,157.424454,233.395142
1568,256,256,158.091904,237.251648
1600,256,256,156.795425,244.095291
1632,256,256,158.363297,246.512192
1664,256,256,156.207428,254.814682
1696,256,256,158.331528,256.230743
1728,256,256,157.751724,262.024811
1760,256,256,157.866440,266.683197
1792,256,256,157.315887,272.482239
1824,256,256,157.798645,276.499512
1856,256,256,157.059494,282.674469
1888,256,256,157.912491,285.994904
1920,256,256,157.998657,290.683655
1952,256,256,158.256912,295.046143
1984,256,256,159.762253,297.057343
2016,256,256,158.474091,304.302185
2048,256,256,157.774200,310.503693
