dx,dy,dz,gFlops,gpu_comp
32,256,256,139.589081,0.976544
64,256,256,146.494492,1.861024
96,256,256,148.146011,2.760416
128,256,256,146.697540,3.716896
160,256,256,148.631561,4.585664
192,256,256,132.527771,6.171456
224,256,256,131.856186,7.236704
256,256,256,132.053757,8.258144
288,256,256,131.423355,9.334976
320,256,256,95.406006,14.287872
352,256,256,96.461586,15.544672
384,256,256,96.532074,16.945440
416,256,256,96.300552,18.401695
448,256,256,95.088287,20.069857
480,256,256,93.046722,21.975231
512,256,256,92.252747,23.641985
544,256,256,92.342834,25.095104
576,256,256,96.888313,25.324703
608,256,256,96.078217,26.957024
640,256,256,96.084518,28.373953
672,256,256,96.615250,29.628992
704,256,256,97.008064,30.914207
736,256,256,105.449303,29.732224
768,256,256,106.159050,30.817505
800,256,256,111.719566,30.503807
832,256,256,112.632294,31.466881
864,256,256,112.316383,32.769054
896,256,256,111.570045,34.210049
928,256,256,112.210106,35.229729
960,256,256,112.639442,36.305634
992,256,256,115.998833,36.429344
1024,256,256,115.988876,37.607712
1056,256,256,116.141846,38.731873
1088,256,256,116.437828,39.804127
1120,256,256,116.569710,40.928478
1152,256,256,116.313774,42.190495
1184,256,256,116.332207,43.355583
1216,256,256,117.105698,44.233250
1248,256,256,118.253250,44.956738
1280,256,256,119.832283,45.501888
1312,256,256,120.355858,46.436543
1344,256,256,119.280769,47.997887
1376,256,256,117.464600,49.900478
1408,256,256,116.330994,51.558529
1440,256,256,115.557297,53.083359
1472,256,256,116.268906,53.930882
1504,256,256,116.108223,55.179550
1536,256,256,116.633850,56.099617
1568,256,256,117.194016,56.994625
1600,256,256,116.386909,58.561089
1632,256,256,115.667160,60.104000
1664,256,256,115.900551,61.159103
1696,256,256,116.134087,62.209888
1728,256,256,115.785423,63.574528
1760,256,256,115.635742,64.835648
1792,256,256,115.862274,65.885406
1824,256,256,116.174904,66.881470
1856,256,256,117.030731,67.557152
1888,256,256,118.170052,68.059357
1920,256,256,119.083145,68.682205
1952,256,256,119.807007,69.405022
1984,256,256,121.019951,69.835777
2016,256,256,120.373917,71.343010
2048,256,256,119.026985,73.295586
